log_file,instance_id,domain_class,search_algorithm,plan_length,repair_length,repair,goal_reached,num_nodes_generated,sum_h_cost,sum_f_cost,sum_h_cost_time,sum_grounding_time,search_time,goal_g_cost,goal_repair_set,error_message
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_9_mystery_pprob28-err-rate-0-3.yaml,mystery__pprob28-err-rate-0-3,mystery,bfs,9,1,"overcome,(fears ?c ?v),effPos,1",True,2698,0,5330,0.0,7.854912996292114,19.17,1,"overcome,(fears ?c ?v),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_8_ged-opt14-strips_pd-3-2-err-rate-0-3.yaml,ged-opt14-strips__pd-3-2-err-rate-0-3,ged-opt14-strips,bfs,8,1,"end-splice-1,(s-first ?x),precPos,-1",True,1344,0,665,0.0,16.151495933532715,26.79,1,"end-splice-1,(s-first ?x),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_3_miconic_ps1-1-err-rate-0-5.yaml,miconic__ps1-1-err-rate-0-5,miconic,bfs,3,1,"depart,(boarded ?p),precPos,-1",True,4,0,1,0.0,0.04642009735107422,1.17,1,"depart,(boarded ?p),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_8_tpp_pp02-err-rate-0-3.yaml,tpp__pp02-err-rate-0-3,tpp,bfs,8,1,"buy,(next ?l2 ?l3),effPos,1",True,16,0,19,0.0,0.16051769256591797,1.33,1,"buy,(next ?l2 ?l3),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_12_rovers_pp03-err-rate-0-5.yaml,rovers__pp03-err-rate-0-5,rovers,bfs,12,1,"take_image,(have_image ?r ?o ?m),effPos,1",True,2796,0,3838,0.0,7.130357503890991,19.17,1,"communicate_image_data,(have_image ?r ?o ?m),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_10_rovers_pp01-err-rate-0-1.yaml,rovers__pp01-err-rate-0-1,rovers,bfs,10,1,"navigate,(have_soil_analysis ?x ?z),effPos,1",True,112,0,69,0.0,2.0257270336151123,3.60,1,"navigate,(have_soil_analysis ?x ?z),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_13_ged-opt14-strips_pd-7-6-err-rate-0-5.yaml,ged-opt14-strips__pd-7-6-err-rate-0-5,ged-opt14-strips,bfs,13,1,"begin-cut,(idle ),precPos,-1",True,915,0,1450,0.0,6.876757621765137,15.31,1,"begin-cut,(idle ),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_5_transport-opt08-strips_pp01-err-rate-0-3.yaml,transport-opt08-strips__pp01-err-rate-0-3,transport-opt08-strips,bfs,5,1,"pick-up,(in ?p ?v),effPos,1",True,75,0,107,0.0,0.2788717746734619,1.51,1,"pick-up,(in ?p ?v),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_13_miconic_ps3-0-err-rate-0-1.yaml,miconic__ps3-0-err-rate-0-1,miconic,bfs,13,1,"up,(lift-at ?f2),effPos,1",False,,,,,,1.25,,,
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_12_visitall-opt11-strips_pproblem03-full-err-rate-0-1.yaml,visitall-opt11-strips__pproblem03-full-err-rate-0-1,visitall-opt11-strips,bfs,12,1,"move,(at-robot ?curpos),precPos,-1",False,,,,,,,,,Subprocess timed out after 900 seconds.
