"file_name","problem_name","plan_length","num_ground_repair","str_ground_repair","run_time","error","results_exists","result_depth","result_repair_set","result_g_cost","result_h_cost","result_f_cost","num_neighbours","iteration_min","iteration_max","iteration_median","iteration_avg","iteration_sum","depth_min","depth_max","depth_median","depth_avg","depth_sum","branching_factor_min","branching_factor_max","branching_factor_median","branching_factor_avg","branching_factor_sum","fringe_size_min","fringe_size_max","fringe_size_median","fringe_size_avg","fringe_size_sum","h_cost_min","h_cost_max","h_cost_median","h_cost_avg","h_cost_sum","g_cost_min","g_cost_max","g_cost_median","g_cost_avg","g_cost_sum","f_cost_min","f_cost_max","f_cost_median","f_cost_avg","f_cost_sum","num_neighbours_min","num_neighbours_max","num_neighbours_median","num_neighbours_avg","num_neighbours_sum"
"dfs_length_7_mprime_pprob21-err-rate-0-5.yaml","mprime/pprob21-err-rate-0-5",7,2,"overcome,(fears ?c ?v),effPos,1
feast,(locale ?n2 ?l2),effPos,1","0.0 hours = 0.1 minutes = 5.19 seconds","",True,7,"succumb,(fears ?c ?v),precPos,-1
overcome,(harmony ?v ?s2),precPos,-1
feast,(craves ?v ?n1),precPos,-1
feast,(locale ?n2 ?l2),effPos,1
feast,(locale ?n1 ?l2),precPos,-1
drink,(locale ?n2 ?l21),precPos,-1",6,0,6,0,1,8,4.5,4.5,36,0,7,3.5,3.5,28,0,167,49.0,60.25,482,1,1,1.0,1,8,0,0,0.0,0,0,0,6,4.0,3.5,28,0,6,4.0,3.5,28,0,167,49.0,60.25,482
"dfs_length_4_mystery_pprob03-err-rate-0-3.yaml","mystery/pprob03-err-rate-0-3",4,1,"succumb,(craves ?c ?n),effPos,1","","",False,"","","","","",0,1,7539,3770,3770,28422030,0,3,3,2.9942963257726487,22574,0,268,0,1.0351505504708847,7804,1,1,1,1,7539,0,0,0,0,0,0,3,2,2.427908210638016,18304,0,3,2,2.427908210638016,18304,0,268,0,1.0351505504708847,7804
"dfs_length_3_miconic_ps1-1-err-rate-0-5.yaml","miconic/ps1-1-err-rate-0-5",3,1,"board,(boarded ?p),effPos,1","0.0 hours = 0.0 minutes = 0.29 seconds","",True,3,"board,(boarded ?p),effPos,1",1,0,1,0,1,4,2.5,2.5,10,0,3,1.5,1.5,6,0,1,1.0,0.75,3,1,1,1.0,1,4,0,0,0.0,0,0,0,1,0.0,0.25,1,0,1,0.0,0.25,1,0,1,1.0,0.75,3
"dfs_length_13_pegsol-08-strips_pp04-err-rate-0-3.yaml","pegsol-08-strips/pp04-err-rate-0-3",13,1,"jump-new-move,(move-ended ),effPos,1","","",False,"","","","","",1,1,3782,1891.5,1891.5,7153653,0,12,11.0,11.4555790586991,43325,0,76,1.0,1.102855631940772,4171,1,1,1.0,1,3782,0,0,0.0,0,0,0,4,4.0,3.9986779481755685,15123,0,4,4.0,3.9986779481755685,15123,0,76,1.0,1.102855631940772,4171
"dfs_length_3_visitall-opt11-strips_pproblem02-full-err-rate-0-1.yaml","visitall-opt11-strips/pproblem02-full-err-rate-0-1",3,1,"move,(visited ?nextpos),effPos,1","0.0 hours = 0.0 minutes = 0.30 seconds","",True,3,"move,(at-robot ?curpos),precPos,-1
move,(visited ?curpos),effPos,1
move,(visited ?nextpos),effPos,1",3,0,3,0,1,4,2.5,2.5,10,0,3,1.5,1.5,6,0,8,5.0,4.5,18,1,1,1.0,1,4,0,0,0.0,0,0,0,3,1.0,1.25,5,0,3,1.0,1.25,5,0,8,5.0,4.5,18
"dfs_length_8_rovers_pp02-err-rate-0-5.yaml","rovers/pp02-err-rate-0-5",8,2,"calibrate,(not (equipped_for_soil_analysis ?r)),effNeg,-1
communicate_image_data,(at_lander ?l ?y),effPos,1","0.0 hours = 0.1 minutes = 3.66 seconds","",True,8,"calibrate,(not (equipped_for_soil_analysis ?r)),effNeg,-1
communicate_rock_data,(at_lander ?l ?y),precPos,-1
communicate_soil_data,(at_lander ?l ?y),precPos,-1",3,0,3,0,1,34,17.5,17.5,595,0,8,5.0,4.794117647058823,163,0,6,1.0,1.2352941176470589,42,1,1,1.0,1,34,0,0,0.0,0,0,0,3,1.0,0.9117647058823529,31,0,3,1.0,0.9117647058823529,31,0,6,1.0,1.2352941176470589,42
"dfs_length_10_blocks_pprobBLOCKS-5-1-err-rate-0-3.yaml","blocks/pprobBLOCKS-5-1-err-rate-0-3",10,2,"stack,(on ?x ?y),effPos,1
unstack,(holding ?x),effPos,1","0.0 hours = 0.6 minutes = 37.91 seconds","",True,10,"unstack,(clear ?x),precPos,-1
unstack,(on ?x ?y),effPos,1
put-down,(holding ?x),precPos,-1
stack,(on ?x ?y),effPos,1
stack,(clear ?y),precPos,-1
stack,(holding ?x),precPos,-1
stack,(on ?y ?x),effPos,1",7,0,7,0,1,363,182,182,66066,0,10,8,7.754820936639119,2815,0,25,0,1.0826446280991735,393,1,1,1,1,363,0,0,0,0,0,0,7,4,3.9779614325068873,1444,0,7,4,3.9779614325068873,1444,0,25,0,1.0826446280991735,393
"dfs_length_3_miconic_ps1-1-err-rate-0-1.yaml","miconic/ps1-1-err-rate-0-1",3,1,"depart,(boarded ?p),precPos,-1","0.0 hours = 0.0 minutes = 0.28 seconds","",True,3,"depart,(boarded ?p),precPos,-1",1,0,1,0,1,4,2.5,2.5,10,0,3,1.5,1.5,6,0,1,1.0,0.75,3,1,1,1.0,1,4,0,0,0.0,0,0,0,1,0.0,0.25,1,0,1,0.0,0.25,1,0,1,1.0,0.75,3
"dfs_length_8_rovers_pp02-err-rate-0-3.yaml","rovers/pp02-err-rate-0-3",8,1,"sample_soil,(available ?x),effPos,1","0.0 hours = 0.0 minutes = 2.29 seconds","",True,8,"sample_soil,(available ?x),effPos,1",1,0,1,0,1,22,11.5,11.5,253,0,8,4.0,4.136363636363637,91,0,6,1.0,1.1818181818181819,26,1,1,1.0,1,22,0,0,0.0,0,0,0,1,0.0,0.045454545454545456,1,0,1,0.0,0.045454545454545456,1,0,6,1.0,1.1818181818181819,26
"dfs_length_10_rovers_pp01-err-rate-0-5.yaml","rovers/pp01-err-rate-0-5",10,5,"drop,(full ?y),precPos,-1
communicate_rock_data,(have_soil_analysis ?r ?x),effPos,1
sample_rock,(empty ?s),effPos,1
take_image,(have_image ?r ?o ?m),effPos,1
navigate,(communicated_soil_data ?z),effPos,1","0.0 hours = 0.0 minutes = 1.61 seconds","",True,10,"drop,(full ?y),precPos,-1
sample_rock,(empty ?s),effPos,1
navigate,(communicated_soil_data ?y),effPos,1
navigate,(at ?x ?y),precPos,-1
communicate_image_data,(have_image ?r ?o ?m),precPos,-1
calibrate,(have_soil_analysis ?r ?w),effPos,1
take_image,(communicated_image_data ?o ?m),effPos,1",7,0,7,0,1,14,7.5,7.5,105,0,10,6.0,5.428571428571429,76,0,6,1.0,2.357142857142857,33,1,1,1.0,1,14,0,0,0.0,0,0,0,7,2.0,2.0714285714285716,29,0,7,2.0,2.0714285714285716,29,0,6,1.0,2.357142857142857,33
