"file name","problem name","plan length","num ground repair","run secs","iteration max","branching factor avg","results exists","result g cost","result h cost","result f cost","fringe size max","num neighbours sum"
"bfs_length_10_rovers_pp01-err-rate-0-5.yaml","rovers/pp01-err-rate-0-5","10","5","10.77","101","1.0495049504950495","True","5","0","5","13","106"
"bfs_length_12_blocks_pprobBLOCKS-5-0-err-rate-0-5.yaml","blocks/pprobBLOCKS-5-0-err-rate-0-5","12","2","58.52","552","0.9981884057971014","True","4","0","4","118","551"
"bfs_length_8_rovers_pp04-err-rate-0-5.yaml","rovers/pp04-err-rate-0-5","8","3","7.28","65","1.2461538461538462","True","3","0","3","30","81"
"bfs_length_8_ged-opt14-strips_pd-2-3-err-rate-0-3.yaml","ged-opt14-strips/pd-2-3-err-rate-0-3","8","2","2.66","20","1.1","True","2","0","2","8","22"
"bfs_length_8_ged-opt14-strips_pd-3-2-err-rate-0-5.yaml","ged-opt14-strips/pd-3-2-err-rate-0-5","8","2","2.56","22","1","True","2","0","2","6","22"
"bfs_length_10_blocks_pprobBLOCKS-5-1-err-rate-0-3.yaml","blocks/pprobBLOCKS-5-1-err-rate-0-3","10","2","4.45","44","1.3181818181818181","True","2","0","2","21","58"
"bfs_length_9_mystery_pprob28-err-rate-0-3.yaml","mystery/pprob28-err-rate-0-3","9","1","30.49","291","0.9965635738831615","True","2","0","2","168","290"
"bfs_length_11_miconic_ps3-4-err-rate-0-3.yaml","miconic/ps3-4-err-rate-0-3","11","2","7.74","34","1.9705882352941178","True","2","0","2","35","67"
"bfs_length_12_nomystery-opt11-strips_pp11-err-rate-0-3.yaml","nomystery-opt11-strips/pp11-err-rate-0-3","12","1","14.28","113","0.9911504424778761","True","2","0","2","69","112"
"bfs_length_7_pegsol-08-strips_pp01-err-rate-0-3.yaml","pegsol-08-strips/pp01-err-rate-0-3","7","1","17.87","162","0.9938271604938271","True","2","0","2","65","161"
"bfs_length_4_miconic_ps1-2-err-rate-0-3.yaml","miconic/ps1-2-err-rate-0-3","4","2","0.37","5","0.8","True","2","0","2","1","4"
