"file name","problem name","plan length","num ground repair","run secs","iteration max","branching factor avg","results exists","result g cost","result h cost","result f cost","fringe size max","num neighbours sum"
"bfs_length_10_rovers_pp01-err-rate-0-5.yaml","rovers/pp01-err-rate-0-5","10","5","651.41","5047","1.6308698236576185","True","5","0","5","3234","8231"
"bfs_length_12_blocks_pprobBLOCKS-5-0-err-rate-0-5.yaml","blocks/pprobBLOCKS-5-0-err-rate-0-5","12","2","183.32","1667","1.1229754049190162","True","3","0","3","235","1872"
"bfs_length_8_rovers_pp04-err-rate-0-5.yaml","rovers/pp04-err-rate-0-5","8","3","219.44","1416","4.607344632768362","True","3","0","3","5112","6524"
"bfs_length_10_blocks_pprobBLOCKS-4-1-err-rate-0-5.yaml","blocks/pprobBLOCKS-4-1-err-rate-0-5","10","2","1.96","20","2.35","True","2","0","2","29","47"
"bfs_length_8_miconic_ps2-0-err-rate-0-3.yaml","miconic/ps2-0-err-rate-0-3","8","2","1.89","19","2.3684210526315788","True","2","0","2","28","45"
"bfs_length_10_blocks_pprobBLOCKS-5-1-err-rate-0-3.yaml","blocks/pprobBLOCKS-5-1-err-rate-0-3","10","2","29.47","266","1.300751879699248","True","2","0","2","82","346"
"bfs_length_4_miconic_ps1-2-err-rate-0-3.yaml","miconic/ps1-2-err-rate-0-3","4","2","0.52","5","0.8","True","2","0","2","1","4"
"bfs_length_8_rovers_pp02-err-rate-0-5.yaml","rovers/pp02-err-rate-0-5","8","2","10.5","92","1.1630434782608696","True","2","0","2","25","107"
"bfs_length_8_ged-opt14-strips_pd-3-2-err-rate-0-5.yaml","ged-opt14-strips/pd-3-2-err-rate-0-5","8","2","113.17","809","1.4054388133498146","True","2","0","2","400","1137"
"bfs_length_8_ged-opt14-strips_pd-2-3-err-rate-0-3.yaml","ged-opt14-strips/pd-2-3-err-rate-0-3","8","2","106.01","863","1.3325608342989572","True","2","0","2","400","1150"
"bfs_length_8_miconic_ps2-0-err-rate-0-5.yaml","miconic/ps2-0-err-rate-0-5","8","2","19.24","136","1.5955882352941178","True","2","0","2","83","217"
"bfs_length_12_rovers_pp03-err-rate-0-3.yaml","rovers/pp03-err-rate-0-3","12","1","41.05","381","2.4120734908136483","True","1","0","1","540","919"
"bfs_length_8_tpp_pp02-err-rate-0-1.yaml","tpp/pp02-err-rate-0-1","8","1","1.31","14","1.3571428571428572","True","1","0","1","7","19"
"bfs_length_11_tpp_pp03-err-rate-0-1.yaml","tpp/pp03-err-rate-0-1","11","1","4.41","41","1.5853658536585367","True","1","0","1","26","65"
"bfs_length_8_rovers_pp04-err-rate-0-3.yaml","rovers/pp04-err-rate-0-3","8","1","13.36","124","1.2338709677419355","True","1","0","1","64","153"
"bfs_length_11_gripper_pprob01-err-rate-0-1.yaml","gripper/pprob01-err-rate-0-1","11","1","9.65","94","3.0531914893617023","True","1","0","1","196","287"
"bfs_length_8_tpp_pp02-err-rate-0-3.yaml","tpp/pp02-err-rate-0-3","8","1","1.15","10","7.5","True","1","0","1","67","75"
"bfs_length_5_mystery_pprob01-err-rate-0-3.yaml","mystery/pprob01-err-rate-0-3","5","1","2.99","17","16.823529411764707","True","1","0","1","273","286"
