"file_name","problem_name","plan_length","num_ground_repair","str_ground_repair","run_time","error","results_exists","result_depth","result_repair_set","result_g_cost","result_h_cost","result_f_cost","num_neighbours","iteration_min","iteration_max","iteration_median","iteration_avg","iteration_sum","depth_min","depth_max","depth_median","depth_avg","depth_sum","branching_factor_min","branching_factor_max","branching_factor_median","branching_factor_avg","branching_factor_sum","fringe_size_min","fringe_size_max","fringe_size_median","fringe_size_avg","fringe_size_sum","h_cost_min","h_cost_max","h_cost_median","h_cost_avg","h_cost_sum","g_cost_min","g_cost_max","g_cost_median","g_cost_avg","g_cost_sum","f_cost_min","f_cost_max","f_cost_median","f_cost_avg","f_cost_sum","num_neighbours_min","num_neighbours_max","num_neighbours_median","num_neighbours_avg","num_neighbours_sum"
"bfs_length_12_transport-opt08-strips_pp02-err-rate-0-3.yaml","transport-opt08-strips/pp02-err-rate-0-3",12,0,"","0.0 hours = 0.0 minutes = 0.09 seconds","",False,"","","","","",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bfs_length_4_tidybot-opt11-strips_pp01-err-rate-0-5.yaml","tidybot-opt11-strips/pp01-err-rate-0-5",4,0,"","0.0 hours = 0.0 minutes = 0.59 seconds","",True,4,"",0,0,0,0,1,5,3,3,15,0,4,2,2,10,0,4,2,2,10,4,7,6,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,10
"bfs_length_7_mprime_pprob21-err-rate-0-3.yaml","mprime/pprob21-err-rate-0-3",7,0,"","","",False,"","","","","",0,1,7635,3818,3818,29150430,0,6,6,5.8606417812704645,44746,0,204,0,3.9033398821218075,29802,49,22171,11365,11211.124819908317,85596938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,3.9033398821218075,29802
"bfs_length_13_woodworking-opt08-strips_pp02-err-rate-0-3.yaml","woodworking-opt08-strips/pp02-err-rate-0-3",13,0,"","0.0 hours = 0.0 minutes = 0.12 seconds","",False,"","","","","",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bfs_length_14_logistics98_pprob31-err-rate-0-5.yaml","logistics98/pprob31-err-rate-0-5",14,3,"fly-airplane,(= ?airplane ?loc-to),precPos,-1
load-truck,(in ?truck ?truck),precPos,-1
fly-airplane,(in ?loc-from ?loc-from),effPos,1","0.0 hours = 0.1 minutes = 8.65 seconds","",False,"","","","","",0,1,85,43,43,3655,0,3,2,2.447058823529412,208,0,20,1,0.9882352941176471,84,0,30,16,15.282352941176471,1299,0,0,0,0,0,0,2,1,1.4823529411764707,126,0,2,1,1.4823529411764707,126,0,20,1,0.9882352941176471,84
"bfs_length_7_visitall-opt11-strips_pproblem03-half-err-rate-0-5.yaml","visitall-opt11-strips/pproblem03-half-err-rate-0-5",7,1,"move,(visited ?nextpos),effPos,1","0.1 hours = 3.4 minutes = 202.14 seconds","",True,7,"move,(visited ?nextpos),effPos,1",1,0,1,0,1,1170,585.5,585.5,685035,0,7,6.0,5.472649572649573,6403,0,24,0.0,8.54017094017094,9992,24,8827,4435.0,4467.947863247863,5227499,0,0,0.0,0,0,0,1,0.0,0.0008547008547008547,1,0,1,0.0,0.0008547008547008547,1,0,24,0.0,8.54017094017094,9992
"bfs_length_9_elevators-opt08-strips_pp02-err-rate-0-1.yaml","","","","","","could not determine a constructor for the tag 'tag:yaml.org,2002:python/object:fd.pddl.conditions.Atom'
  in ""./exp_logs/8 BFS-full-log length1-15/bfs_length_9_elevators-opt08-strips_pp02-err-rate-0-1.yaml"", line 62, column 7",False,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bfs_length_12_woodworking-opt08-strips_pp13-err-rate-0-5.yaml","woodworking-opt08-strips/pp13-err-rate-0-5",12,0,"","","",False,"","","","","",0,1,13265,6633,6633,87986745,0,11,11,10.393215228043724,137866,0,21,0,1.0701846965699209,14196,4,934,513,506.41258952129664,6717563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1.0701846965699209,14196
"bfs_length_14_logistics00_pprobLOGISTICS-6-1-err-rate-0-5.yaml","logistics00/pprobLOGISTICS-6-1-err-rate-0-5",14,1,"fly-airplane,(airport ?loc-from),precPos,-1","0.4 hours = 26.1 minutes = 1565.69 seconds","",False,"","","","","",0,1,13573,6787,6787,92119951,0,7,6,5.709128416709644,77490,0,8,0,0.9999263243203419,13572,0,487,250,248.8783614528844,3378026,0,0,0,0,0,0,1,1,0.5817431665807117,7896,0,1,1,0.5817431665807117,7896,0,8,0,0.9999263243203419,13572
"bfs_length_1_ged-opt14-strips_pd-2-1-err-rate-0-1.yaml","ged-opt14-strips/pd-2-1-err-rate-0-1",1,0,"","0.0 hours = 0.0 minutes = 0.17 seconds","",True,1,"",0,0,0,0,1,2,1.5,1.5,3,0,1,0.5,0.5,1,0,1,0.5,0.5,1,0,1,0.5,0.5,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.5,0.5,1
"bfs_length_1_visitall-opt11-strips_pproblem02-half-err-rate-0-1.yaml","visitall-opt11-strips/pproblem02-half-err-rate-0-1",1,0,"","0.0 hours = 0.0 minutes = 0.14 seconds","",True,1,"",0,0,0,0,1,2,1.5,1.5,3,0,1,0.5,0.5,1,0,1,0.5,0.5,1,0,1,0.5,0.5,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.5,0.5,1
"bfs_length_4_mystery_pprob17-err-rate-0-5.yaml","mystery/pprob17-err-rate-0-5",4,0,"","","",False,"","","","","",0,1,951,476,476,452676,0,3,3,2.943217665615142,2799,0,1136,0,50.23343848580441,47772,1136,46843,24230,24316.83596214511,23125311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,50.23343848580441,47772
"bfs_length_3_miconic_ps1-1-err-rate-0-3.yaml","miconic/ps1-1-err-rate-0-3",3,0,"","0.0 hours = 0.0 minutes = 0.33 seconds","",True,3,"",0,0,0,0,1,4,2.5,2.5,10,0,3,1.5,1.5,6,0,1,1.0,0.75,3,0,1,1.0,0.75,3,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,1.0,0.75,3
"bfs_length_11_tpp_pp03-err-rate-0-3.yaml","tpp/pp03-err-rate-0-3",11,2,"load,(loaded ?g ?t ?l2),effPos,1
buy,(ready-to-load ?g ?m ?l4),effPos,1","0.0 hours = 0.0 minutes = 0.70 seconds","",False,"","","","","",0,1,6,3.5,3.5,21,0,2,1.5,1.3333333333333333,8,0,3,0.0,0.8333333333333334,5,0,4,2.0,2,12,0,0,0.0,0,0,0,1,0.0,0.16666666666666666,1,0,1,0.0,0.16666666666666666,1,0,3,0.0,0.8333333333333334,5
"bfs_length_8_woodworking-opt08-strips_pp22-err-rate-0-3.yaml","woodworking-opt08-strips/pp22-err-rate-0-3",8,"","","","",False,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bfs_length_13_miconic_ps3-1-err-rate-0-1.yaml","","","","","","could not determine a constructor for the tag 'tag:yaml.org,2002:python/object:fd.pddl.conditions.Atom'
  in ""./exp_logs/8 BFS-full-log length1-15/bfs_length_13_miconic_ps3-1-err-rate-0-1.yaml"", line 477, column 7",False,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bfs_length_9_zenotravel_pp04-err-rate-0-3.yaml","zenotravel/pp04-err-rate-0-3",9,0,"","0.0 hours = 1.4 minutes = 81.77 seconds","",True,9,"",0,0,0,0,1,536,268.5,268.5,143916,0,9,7.0,7.018656716417911,3762,0,45,1.0,4.324626865671642,2318,45,1784,934.0,930.25,498614,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,45,1.0,4.324626865671642,2318
"bfs_length_10_scanalyzer-sat11-strips_pp01-err-rate-0-3.yaml","scanalyzer-sat11-strips/pp01-err-rate-0-3",10,0,"","","",False,"","","","","",16384,1,3,2,2,6,0,2,1,1,3,16384,16384,16384,16384,49152,16384,49150,32767,32767,98301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,16384,16384,16384,49152
"bfs_length_5_mprime_pprob27-err-rate-0-3.yaml","mprime/pprob27-err-rate-0-3",5,0,"","0.0 hours = 0.1 minutes = 3.52 seconds","",True,5,"",0,0,0,0,1,12,6.5,6.5,78,0,5,3.5,3.0833333333333335,37,0,405,2.0,36.083333333333336,433,6,423,416.5,349.1666666666667,4190,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,405,2.0,36.083333333333336,433
"bfs_length_14_hiking-agl14-strips_ptesting-4-5-3-err-rate-0-5.yaml","hiking-agl14-strips/ptesting-4-5-3-err-rate-0-5",14,0,"","0.0 hours = 0.9 minutes = 53.27 seconds","",True,14,"",0,0,0,0,1,287,144,144,41328,0,14,11,7.184668989547038,2062,0,720,0,13.020905923344948,3737,709,3474,1780,1805.6062717770035,518209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,13.020905923344948,3737
"bfs_length_14_mprime_pprob33-err-rate-0-3.yaml","mprime/pprob33-err-rate-0-3",14,1,"feast,(craves ?v ?n2),effPos,1","","",False,"","","","","",4,1,9878,4939.5,4939.5,48792381,0,9,9.0,8.520955659040292,84170,0,2808,0.0,2.1774650739015997,21509,2808,11632,10305.5,10131.626543834784,100080207,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2808,0.0,2.1774650739015997,21509
"bfs_length_8_tpp_pp02-err-rate-0-5.yaml","tpp/pp02-err-rate-0-5",8,0,"","0.0 hours = 0.0 minutes = 0.95 seconds","",True,8,"",0,0,0,0,1,9,5,5,45,0,8,4,4,36,0,2,1,1.3333333333333333,12,2,5,3,3.5555555555555554,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.3333333333333333,12
"bfs_length_13_mprime_pprob02-err-rate-0-1.yaml","","","","","","could not determine a constructor for the tag 'tag:yaml.org,2002:python/object:fd.pddl.conditions.Atom'
  in ""./exp_logs/8 BFS-full-log length1-15/bfs_length_13_mprime_pprob02-err-rate-0-1.yaml"", line 21654, column 7",False,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bfs_length_7_data-network-opt18-strips_pp02-err-rate-0-3.yaml","data-network-opt18-strips/pp02-err-rate-0-3",7,0,"","0.0 hours = 0.0 minutes = 0.15 seconds","",False,"","","","","",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bfs_length_7_mprime_pprob20-err-rate-0-5.yaml","mprime/pprob20-err-rate-0-5",7,0,"","","",False,"","","","","",0,1,385,193,193,74305,0,6,6,5.911688311688311,2276,0,2750,0,123.83376623376624,47676,6,47318,29066,30051.74025974026,11569920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750,0,123.83376623376624,47676
"bfs_length_4_miconic_ps1-3-err-rate-0-5.yaml","miconic/ps1-3-err-rate-0-5",4,0,"","0.0 hours = 0.0 minutes = 0.38 seconds","",True,4,"",0,0,0,0,1,5,3,3,15,0,4,2,2,10,0,1,1,0.8,4,0,1,1,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8,4
"bfs_length_8_rovers_pp02-err-rate-0-1.yaml","rovers/pp02-err-rate-0-1",8,0,"","0.0 hours = 0.0 minutes = 2.25 seconds","",True,8,"",0,0,0,0,1,21,11,11,231,0,8,4,4.285714285714286,90,0,6,1,1.1428571428571428,24,2,7,6,5.666666666666667,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1.1428571428571428,24
"bfs_length_10_blocks_pprobBLOCKS-6-1-err-rate-0-5.yaml","blocks/pprobBLOCKS-6-1-err-rate-0-5",10,0,"","0.0 hours = 0.8 minutes = 50.47 seconds","",True,10,"",0,0,0,0,1,492,246.5,246.5,121278,0,10,7.0,6.945121951219512,3417,0,5,1.0,1.0264227642276422,505,1,17,10.0,10.432926829268293,5133,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,5,1.0,1.0264227642276422,505
"bfs_length_13_mprime_pprob24-err-rate-0-1.yaml","","","","","","could not determine a constructor for the tag 'tag:yaml.org,2002:python/object:fd.pddl.conditions.Atom'
  in ""./exp_logs/8 BFS-full-log length1-15/bfs_length_13_mprime_pprob24-err-rate-0-1.yaml"", line 141, column 7",False,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bfs_length_6_blocks_pprobBLOCKS-4-0-err-rate-0-5.yaml","blocks/pprobBLOCKS-4-0-err-rate-0-5",6,0,"","0.0 hours = 0.1 minutes = 3.52 seconds","",True,6,"",0,0,0,0,1,35,18,18,630,0,6,4,3.5428571428571427,124,0,4,1,1.1428571428571428,40,3,8,6,5.828571428571428,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1.1428571428571428,40
"bfs_length_12_blocks_pprobBLOCKS-5-0-err-rate-0-1.yaml","blocks/pprobBLOCKS-5-0-err-rate-0-1",12,1,"unstack,(ontable ?x),precPos,-1","0.0 hours = 0.0 minutes = 0.10 seconds","",False,"","","","","",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bfs_length_4_mprime_pprob17-err-rate-0-5.yaml","mprime/pprob17-err-rate-0-5",4,0,"","","",False,"","","","","",0,1,929,465,465,431985,0,3,3,2.9429494079655543,2734,0,1136,0,50.22604951560818,46660,1136,45753,24219,23783.63401506997,22094996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,50.22604951560818,46660
"bfs_length_11_mprime_pprob09-err-rate-0-3.yaml","mprime/pprob09-err-rate-0-3",11,0,"","","",False,"","","","","",0,1,4578,2289.5,2289.5,10481331,0,10,10.0,9.859545653123634,45137,0,504,0.0,8.288772389689822,37946,15,33373,17088.5,16932.350371341196,77516300,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,504,0.0,8.288772389689822,37946
"bfs_length_12_nomystery-opt11-strips_pp11-err-rate-0-3.yaml","nomystery-opt11-strips/pp11-err-rate-0-3",12,1,"load,(in ?p ?t),effPos,1","0.0 hours = 0.8 minutes = 46.94 seconds","",True,12,"load,(in ?p ?t),effPos,1",1,0,1,0,1,129,65,65,8385,0,12,7,6.3023255813953485,813,0,206,1,22.364341085271317,2885,206,2758,1743,1675.2945736434108,216113,0,0,0,0,0,0,1,1,0.689922480620155,89,0,1,1,0.689922480620155,89,0,206,1,22.364341085271317,2885
"bfs_length_6_mprime_pprob03-err-rate-0-5.yaml","mprime/pprob03-err-rate-0-5",6,1,"overcome,(harmony ?v ?s1),effPos,1","","",False,"","","","","",0,1,2092,1046.5,1046.5,2189278,0,5,5.0,4.822179732313575,10088,0,268,0.0,21.823135755258125,45654,268,43569,22863.5,22541.02676864245,47155828,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,268,0.0,21.823135755258125,45654
"bfs_length_9_pegsol-08-strips_pp02-err-rate-0-5.yaml","pegsol-08-strips/pp02-err-rate-0-5",9,2,"jump-new-move,(last-visited ?to),effPos,1
jump-new-move,(move-ended ),effPos,1","0.4 hours = 24.8 minutes = 1490.16 seconds","",False,"","","","","",0,1,10955,5478,5478,60011490,0,3,3,2.7569146508443634,30202,0,76,0,0.9999087174806025,10954,0,9176,5228,5014.981013235965,54939117,0,0,0,0,0,0,5,4,3.4446371519853947,37736,0,5,4,3.4446371519853947,37736,0,76,0,0.9999087174806025,10954
"bfs_length_10_mystery_pprob30-err-rate-0-3.yaml","mystery/pprob30-err-rate-0-3",10,0,"","","",False,"","","","","",0,1,1279,640,640,818560,0,9,9,8.595777951524628,10994,0,1355,0,35.853792025019544,45857,1355,44593,26908,26150.723221266613,33446775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355,0,35.853792025019544,45857
"bfs_length_14_mystery_pprob02-err-rate-0-5.yaml","mystery/pprob02-err-rate-0-5",14,2,"overcome,(harmony ?v ?s1),effPos,1
succumb,(craves ?c ?n),effPos,1","","",False,"","","","","",0,1,2997,1499,1499,4492503,0,12,12,11.867867867867869,35568,0,236,0,13.797797797797799,41352,236,38364,19869,19856.571905238572,59510146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,13.797797797797799,41352
"bfs_length_5_mprime_pprob07-err-rate-0-1.yaml","mprime/pprob07-err-rate-0-1",5,0,"","0.0 hours = 1.6 minutes = 96.63 seconds","",True,5,"",0,0,0,0,1,703,352,352,247456,0,5,4,3.467994310099573,2438,0,500,0,4.534850640113798,3188,500,2491,1259,1402.3826458036983,985875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,4.534850640113798,3188
"bfs_length_6_zenotravel_pp03-err-rate-0-3.yaml","zenotravel/pp03-err-rate-0-3",6,1,"debark,(in ?p ?a),precPos,-1","","",False,"","","","","",0,1,10616,5308.5,5308.5,56355036,0,5,5.0,4.918707611152977,52217,0,81,0.0,2.6723813112283348,28370,2,17767,9200.0,9772.884796533534,103748945,0,0,0.0,0,0,0,2,2.0,1.8822532027128862,19982,0,2,2.0,1.8822532027128862,19982,0,81,0.0,2.6723813112283348,28370
"bfs_length_6_blocks_pprobBLOCKS-4-2-err-rate-0-1.yaml","blocks/pprobBLOCKS-4-2-err-rate-0-1",6,0,"","0.0 hours = 0.0 minutes = 1.89 seconds","",True,6,"",0,0,0,0,1,21,11,11,231,0,6,4,3.5714285714285716,75,0,3,1,1.0476190476190477,22,1,5,3,3.238095238095238,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.0476190476190477,22
"bfs_length_1_ged-opt14-strips_pd-2-1-err-rate-0-3.yaml","ged-opt14-strips/pd-2-1-err-rate-0-3",1,0,"","0.0 hours = 0.0 minutes = 0.13 seconds","",True,1,"",0,0,0,0,1,2,1.5,1.5,3,0,1,0.5,0.5,1,0,1,0.5,0.5,1,0,1,0.5,0.5,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.5,0.5,1
"bfs_length_8_mprime_pprob32-err-rate-0-5.yaml","mprime/pprob32-err-rate-0-5",8,1,"feast,(craves ?v ?n2),effPos,1","0.0 hours = 0.1 minutes = 4.03 seconds","",False,"","","","","",0,1,32,16.5,16.5,528,0,2,2.0,1.71875,55,0,7,0.0,0.96875,31,0,11,7.0,6.21875,199,0,0,0.0,0,0,0,1,0.0,0.4375,14,0,1,0.0,0.4375,14,0,7,0.0,0.96875,31
"bfs_length_4_tidybot-opt11-strips_pp01-err-rate-0-3.yaml","tidybot-opt11-strips/pp01-err-rate-0-3",4,0,"","0.0 hours = 0.0 minutes = 0.60 seconds","",True,4,"",0,0,0,0,1,5,3,3,15,0,4,2,2,10,0,4,2,2,10,4,7,6,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,10
