"file_name","problem_name","plan_length","num_ground_repair","str_ground_repair","run_time","error","results_exists","result_depth","result_repair_set","result_g_cost","result_h_cost","result_f_cost","num_neighbours","iteration_min","iteration_max","iteration_median","iteration_avg","iteration_sum","depth_min","depth_max","depth_median","depth_avg","depth_sum","branching_factor_min","branching_factor_max","branching_factor_median","branching_factor_avg","branching_factor_sum","fringe_size_min","fringe_size_max","fringe_size_median","fringe_size_avg","fringe_size_sum","h_cost_min","h_cost_max","h_cost_median","h_cost_avg","h_cost_sum","g_cost_min","g_cost_max","g_cost_median","g_cost_avg","g_cost_sum","f_cost_min","f_cost_max","f_cost_median","f_cost_avg","f_cost_sum","num_neighbours_min","num_neighbours_max","num_neighbours_median","num_neighbours_avg","num_neighbours_sum"
"astar_length_8_freecell_pp01-err-rate-0-3.yaml","freecell/pp01-err-rate-0-3",8,0,"","0.0 hours = 0.0 minutes = 0.14 seconds","",False,"","","","","",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"astar_length_9_data-network-opt18-strips_pp01-err-rate-0-1.yaml","data-network-opt18-strips/pp01-err-rate-0-1",9,1,"process,(script-io ?sc ?in1 ?out ?in2),precPos,-1","0.0 hours = 0.0 minutes = 0.13 seconds","",False,"","","","","",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"astar_length_12_miconic_ps3-3-err-rate-0-5.yaml","miconic/ps3-3-err-rate-0-5",12,2,"down,(= ?f2 ?f1),precPos,-1
depart,(served ?f),precPos,-1","","",False,"","","","","",1,1,324,162.5,162.5,52650,0,6,5.0,4.682098765432099,1517,0,15,1.0,2.080246913580247,674,1,353,233.5,229.5493827160494,74374,0,1,1.0,0.9969135802469136,323,0,2,2.0,1.7901234567901234,580,0,3,3.0,2.787037037037037,903,0,15,1.0,2.080246913580247,674
"astar_length_5_mprime_pprob07-err-rate-0-5.yaml","mprime/pprob07-err-rate-0-5",5,1,"drink,(attacks ?n2 ?n2),precPos,-1","0.0 hours = 0.0 minutes = 0.10 seconds","",False,"","","","","",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"astar_length_10_pegsol-08-strips_pp03-err-rate-0-3.yaml","pegsol-08-strips/pp03-err-rate-0-3",10,1,"jump-continue-move,(free ?over),precPos,-1","","",False,"","","","","",0,1,27,14,14,378,0,5,4,3.6296296296296298,98,0,76,24,23.62962962962963,638,76,617,470,398.037037037037,10747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,24,23.62962962962963,638
"astar_length_10_mystery_pprob30-err-rate-0-3.yaml","mystery/pprob30-err-rate-0-3",10,0,"","","",False,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"astar_length_4_mprime_pprob29-err-rate-0-3.yaml","mprime/pprob29-err-rate-0-3",4,0,"","","",False,"","","","","",0,1,20,10.5,10.5,210,0,3,3.0,2.6,52,0,168,0.0,33.5,670,12,657,495.5,464.3,9286,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,168,0.0,33.5,670
"astar_length_8_transport-opt08-strips_pp21-err-rate-0-1.yaml","transport-opt08-strips/pp21-err-rate-0-1",8,0,"","0.0 hours = 0.0 minutes = 0.09 seconds","",False,"","","","","",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"astar_length_8_mystery_pprob10-err-rate-0-3.yaml","mystery/pprob10-err-rate-0-3",8,1,"succumb,(fears ?c ?v),precPos,-1","","",False,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"astar_length_6_blocks_pprobBLOCKS-4-0-err-rate-0-5.yaml","blocks/pprobBLOCKS-4-0-err-rate-0-5",6,0,"","0.0 hours = 1.5 minutes = 89.48 seconds","",True,6,"",0,0,0,0,1,51,26,26,1326,0,6,4,3.5098039215686274,179,0,4,1,1.3137254901960784,67,4,18,12,11.568627450980392,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1.3137254901960784,67
"astar_length_7_mprime_pprob21-err-rate-0-1.yaml","mprime/pprob21-err-rate-0-1",7,1,"feast,(fears ?v ?v),precPos,-1","0.0 hours = 1.4 minutes = 85.78 seconds","",False,"","","","","",0,1,50,25.5,25.5,1275,0,1,1.0,0.98,49,0,49,0.0,0.98,49,0,49,24.5,24.5,1225,0,1,1.0,0.98,49,0,3,2.0,2.06,103,0,4,3.0,3.04,152,0,49,0.0,0.98,49
"astar_length_6_transport-sat08-strips_pp01-err-rate-0-5.yaml","transport-sat08-strips/pp01-err-rate-0-5",6,1,"pick-up,(capacity-predecessor ?s2 ?s2),precPos,-1","0.0 hours = 0.0 minutes = 0.25 seconds","",False,"","","","","",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"astar_length_11_transport-sat08-strips_pp11-err-rate-0-5.yaml","transport-sat08-strips/pp11-err-rate-0-5",11,1,"drive,(road ?l1 ?l2),precPos,-1","0.0 hours = 0.0 minutes = 0.12 seconds","",False,"","","","","",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"astar_length_12_woodworking-opt08-strips_pp23-err-rate-0-1.yaml","woodworking-opt08-strips/pp23-err-rate-0-1",12,1,"do-plane,(grind-treatment-change ?oldtreatment ?oldtreatment),precPos,-1","0.0 hours = 0.0 minutes = 0.13 seconds","",False,"","","","","",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"astar_length_8_woodworking-opt08-strips_pp11-err-rate-0-5.yaml","woodworking-opt08-strips/pp11-err-rate-0-5",8,1,"do-saw-medium,(is-smooth ?surface),effPos,1","0.0 hours = 0.0 minutes = 0.12 seconds","",False,"","","","","",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"astar_length_4_miconic_ps1-0-err-rate-0-5.yaml","miconic/ps1-0-err-rate-0-5",4,0,"","0.0 hours = 0.1 minutes = 4.76 seconds","",True,4,"",0,0,0,0,1,5,3,3,15,0,4,2,2,10,0,1,1,0.8,4,0,1,1,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8,4
