log file,instance id,domain class,search algorithm,plan length,vanilla repair length,vanilla repair,goal reached,num nodes generated,sum h cost,sum f cost,sum h cost time,sum grounding time,search time,search g cost,search repair set,repair length comparison,error message
exp_logs_anu/02 bfs relax-prec lp066/data-network-opt18-strips__pp09-err-rate-0-3.yaml,data-network-opt18-strips__pp09-err-rate-0-3,data-network-opt18-strips,bfs,8,1,"send,(cached ?d ?from),precPos,-1",True,20,0,22,0.0,0.41,1.70,1.0,"send,(cached ?d ?from),precPos,-1",equal,
exp_logs_anu/02 bfs relax-prec lp066/ged-opt14-strips__pd-1-2-err-rate-0-3.yaml,ged-opt14-strips__pd-1-2-err-rate-0-3,ged-opt14-strips,bfs,1,0,,True,2,0,0,0.0,0.03,1.16,0.0,,equal,
exp_logs_anu/02 bfs relax-prec lp066/freecell__pprobfreecell-2-2-err-rate-0-1.yaml,freecell__pprobfreecell-2-2-err-rate-0-1,freecell,bfs,8,1,"sendtohome,(on ?homecard ?vcard),precPos,-1",False,,,,,,1.24,,,,
exp_logs_anu/02 bfs relax-prec lp066/hiking-opt14-strips__pptesting-2-2-3-err-rate-0-5.yaml,hiking-opt14-strips__pptesting-2-2-3-err-rate-0-5,hiking-opt14-strips,bfs,10,0,,True,44,0,0,0.0,0.58,1.84,0.0,,equal,
exp_logs_anu/02 bfs relax-prec lp066/depot__pp01-err-rate-0-1.yaml,depot__pp01-err-rate-0-1,depot,bfs,10,1,"drop,(in ?p ?z),precPos,-1",True,20,0,2,0.0,0.39,1.57,1.0,"drop,(in ?p ?z),precPos,-1",equal,
exp_logs_anu/02 bfs relax-prec lp066/mystery__pprob10-err-rate-0-5.yaml,mystery__pprob10-err-rate-0-5,mystery,bfs,8,2,"feast,(orbits ?l2 ?v),precPos,-1
overcome,(craves ?s1 ?n),precPos,-1",False,,,,,,1.47,,,,
exp_logs_anu/02 bfs relax-prec lp066/mprime__pprob07-err-rate-0-1.yaml,mprime__pprob07-err-rate-0-1,mprime,bfs,5,0,,True,8,0,0,0.0,0.23,1.39,0.0,,equal,
exp_logs_anu/02 bfs relax-prec lp066/scanalyzer-08-strips__pp25-err-rate-0-3.yaml,scanalyzer-08-strips__pp25-err-rate-0-3,scanalyzer-08-strips,bfs,10,0,,True,14,0,0,0.0,0.31,1.54,0.0,,equal,
exp_logs_anu/02 bfs relax-prec lp066/transport-opt08-strips__pp01-err-rate-0-5.yaml,transport-opt08-strips__pp01-err-rate-0-5,transport-opt08-strips,bfs,5,2,"drop,(capacity ?v ?s2),precPos,-1
pick-up,(capacity-predecessor ?s1 ?s1),precPos,-1",False,,,,,,1.14,,,,
exp_logs_anu/02 bfs relax-prec lp066/data-network-opt18-strips__pp17-err-rate-0-3.yaml,data-network-opt18-strips__pp17-err-rate-0-3,data-network-opt18-strips,bfs,10,0,,True,40,0,15,0.0,1.15,2.53,0.0,,equal,
exp_logs_anu/02 bfs relax-prec lp066/mprime__pprob26-err-rate-0-1.yaml,mprime__pprob26-err-rate-0-1,mprime,bfs,6,0,,True,19,0,0,0.0,0.61,1.83,0.0,,equal,
exp_logs_anu/02 bfs relax-prec lp066/tetris-opt14-strips__pp03-4-err-rate-0-5.yaml,tetris-opt14-strips__pp03-4-err-rate-0-5,tetris-opt14-strips,bfs,10,0,,True,78,0,12,0.0,1.56,2.97,0.0,,equal,
exp_logs_anu/02 bfs relax-prec lp066/data-network-opt18-strips__pp02-err-rate-0-3.yaml,data-network-opt18-strips__pp02-err-rate-0-3,data-network-opt18-strips,bfs,7,0,,True,12,0,3,0.0,0.36,1.56,0.0,,equal,
exp_logs_anu/02 bfs relax-prec lp066/data-network-opt18-strips__pp01-err-rate-0-5.yaml,data-network-opt18-strips__pp01-err-rate-0-5,data-network-opt18-strips,bfs,9,2,"load,(cached ?d ?s),effPos,1
release,(usage ?s ?after),effPos,1",False,,,,,,1.53,,,,
exp_logs_anu/02 bfs relax-prec lp066/blocks__pprobBLOCKS-5-1-err-rate-0-3.yaml,blocks__pprobBLOCKS-5-1-err-rate-0-3,blocks,bfs,10,2,"stack,(on ?x ?y),effPos,1
unstack,(holding ?x),effPos,1",True,67,0,89,0.0,0.39,1.63,2.0,"stack,(on ?x ?y),effPos,1
unstack,(holding ?x),effPos,1",equal,
exp_logs_anu/02 bfs relax-prec lp066/mystery__pprob27-err-rate-0-3.yaml,mystery__pprob27-err-rate-0-3,mystery,bfs,5,1,"feast,(attacks ?l2 ?v),precPos,-1",False,,,,,,1.30,,,,
exp_logs_anu/02 bfs relax-prec lp066/visitall-opt11-strips__pproblem03-half-err-rate-0-3.yaml,visitall-opt11-strips__pproblem03-half-err-rate-0-3,visitall-opt11-strips,bfs,7,1,"move,(visited ?nextpos),precPos,-1",False,,,,,,1.33,,,,
exp_logs_anu/02 bfs relax-prec lp066/miconic__ps1-2-err-rate-0-3.yaml,miconic__ps1-2-err-rate-0-3,miconic,bfs,4,2,"depart,(served ?p),effPos,1
down,(lift-at ?f2),effPos,1",True,5,0,2,0.0,0.06,1.26,2.0,"depart,(served ?p),effPos,1
down,(lift-at ?f2),effPos,1",equal,
exp_logs_anu/02 bfs relax-prec lp066/miconic__ps2-0-err-rate-0-1.yaml,miconic__ps2-0-err-rate-0-1,miconic,bfs,8,1,"up,(passenger ?f2),effPos,1",False,,,,,,1.38,,,,
exp_logs_anu/02 bfs relax-prec lp066/miconic__ps1-1-err-rate-0-5.yaml,miconic__ps1-1-err-rate-0-5,miconic,bfs,3,1,"depart,(boarded ?p),precPos,-1",True,4,0,1,0.0,0.05,1.20,1.0,"depart,(boarded ?p),precPos,-1",equal,
exp_logs_anu/02 bfs relax-prec lp066/pipesworld-notankage__pp07-net1-b12-g5-err-rate-0-1.yaml,pipesworld-notankage__pp07-net1-b12-g5-err-rate-0-1,pipesworld-notankage,bfs,10,1,"pop-unitarypipe,(on ?last-batch-atom ?from-area),effPos,1",False,,,,,,1.77,,,,
exp_logs_anu/02 bfs relax-prec lp066/mprime__pprob19-err-rate-0-1.yaml,mprime__pprob19-err-rate-0-1,mprime,bfs,8,0,,True,23,0,0,0.0,0.72,1.97,0.0,,equal,
exp_logs_anu/02 bfs relax-prec lp066/pipesworld-notankage__pp03-net1-b8-g3-err-rate-0-3.yaml,pipesworld-notankage__pp03-net1-b8-g3-err-rate-0-3,pipesworld-notankage,bfs,10,0,,True,19,0,3,0.0,0.35,1.56,0.0,,equal,
exp_logs_anu/02 bfs relax-prec lp066/woodworking-sat08-strips__pp21-err-rate-0-1.yaml,woodworking-sat08-strips__pp21-err-rate-0-1,woodworking-sat08-strips,bfs,8,0,,False,,,,,,1.30,,,,"An error occurred during A* search: 'small' is not in list. Stack trace: Traceback (most recent call last):
  File ""instance_solver.py"", line 85, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 90, in find_path
    neighbours = current_node.get_neighbors()
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 162, in get_neighbors
    self.possible_groundings = Node.grounder(domain, task, next_action_pddl)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 145, in ground_pddl
    parser.parse_domain(domain_path)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in parse_domain
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in <listcomp>
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in <listcomp>
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
ValueError: 'small' is not in list
"
exp_logs_anu/02 bfs relax-prec lp066/freecell__pprobfreecell-2-2-err-rate-0-5.yaml,freecell__pprobfreecell-2-2-err-rate-0-5,freecell,bfs,8,0,,True,11,0,0,0.0,0.3,1.48,0.0,,equal,
exp_logs_anu/02 bfs relax-prec lp066/freecell__pprobfreecell-2-1-err-rate-0-3.yaml,freecell__pprobfreecell-2-1-err-rate-0-3,freecell,bfs,9,1,"sendtohome,(clear ?card),precPos,-1",False,,,,,,1.41,,,,
exp_logs_anu/02 bfs relax-prec lp066/hiking-opt14-strips__pptesting-2-2-3-err-rate-0-1.yaml,hiking-opt14-strips__pptesting-2-2-3-err-rate-0-1,hiking-opt14-strips,bfs,10,0,,True,30,0,0,0.0,0.37,1.63,0.0,,equal,
exp_logs_anu/02 bfs relax-prec lp066/mprime__pprob11-err-rate-0-3.yaml,mprime__pprob11-err-rate-0-3,mprime,bfs,7,0,,True,12,0,0,0.0,0.26,1.42,0.0,,equal,
