log file,instance id,domain class,search algorithm,plan length,vanilla repair length,vanilla repair,goal reached,iteration,num nodes generated,h_max,sum h cost,sum f cost,sum h cost time,sum grounding time,search time,search g cost,search repair set,repair length comparison,repair string comparison,error message,error group,lift_prob,grounding method
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/mprime__pprob12-err-rate-0-1.yaml,mprime__pprob12-err-rate-0-1,mprime,g_astar,11,1,"feast,(locale ?l1 ?l1),effPos,1",False,28,,4,,,,,16.59,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/scanalyzer-08-strips__pp28-err-rate-0-5.yaml,scanalyzer-08-strips__pp28-err-rate-0-5,scanalyzer-08-strips,g_astar,15,1,"analyze-4,(cycle-4 ?s2 ?s2 ?s3 ?s2),precPos,-1",False,1,,0,,,,,1.74,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/freecell__pprobfreecell-2-3-err-rate-0-1.yaml,freecell__pprobfreecell-2-3-err-rate-0-1,freecell,g_astar,8,0,,True,9,9,0,0,0,0.38,0.24,1.98,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/mprime__pprob07-err-rate-0-1.yaml,mprime__pprob07-err-rate-0-1,mprime,g_astar,5,0,,True,7,12,2,16,8,0.18,0.28,1.87,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/zenotravel__pp08-err-rate-0-3.yaml,zenotravel__pp08-err-rate-0-3,zenotravel,g_astar,15,0,,True,16,31,4,40,20,0.73,0.4,3.88,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/nomystery-opt11-strips__pp11-err-rate-0-3.yaml,nomystery-opt11-strips__pp11-err-rate-0-3,nomystery-opt11-strips,g_astar,12,1,"unload,(in ?p ?t),precPos,-1",True,31,33,4,236,143,4.01,3.72,9.45,1.0,"unload,(in ?p ?t),precPos,-1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/transport-sat08-strips__pp01-err-rate-0-5.yaml,transport-sat08-strips__pp01-err-rate-0-5,transport-sat08-strips,g_astar,6,1,"pick-up,(capacity-predecessor ?s2 ?s2),precPos,-1",False,1,,0,,,,,1.16,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/nomystery-opt11-strips__pp12-err-rate-0-5.yaml,nomystery-opt11-strips__pp12-err-rate-0-5,nomystery-opt11-strips,g_astar,15,0,,True,16,20,4,8,4,9.57,13.46,28.94,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/mystery__pprob15-err-rate-0-1.yaml,mystery__pprob15-err-rate-0-1,mystery,g_astar,6,0,,True,8,12,2,12,6,0.36,0.39,2.44,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/hiking-opt14-strips__pptesting-1-2-3-err-rate-0-1.yaml,hiking-opt14-strips__pptesting-1-2-3-err-rate-0-1,hiking-opt14-strips,g_astar,13,0,,True,17,35,12,256,128,0.71,0.24,3.33,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/scanalyzer-08-strips__pp01-err-rate-0-3.yaml,scanalyzer-08-strips__pp01-err-rate-0-3,scanalyzer-08-strips,g_astar,10,1,"analyze-2,(on ?c1 ?s2),effPos,1",False,6,,4,,,,,1.65,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/scanalyzer-08-strips__pp02-err-rate-0-5.yaml,scanalyzer-08-strips__pp02-err-rate-0-5,scanalyzer-08-strips,g_astar,14,1,"rotate-2,(cycle-2-with-analysis ?s2 ?s1),precPos,-1",False,9,,6,,,,,2.43,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/transport-opt08-strips__pp11-err-rate-0-3.yaml,transport-opt08-strips__pp11-err-rate-0-3,transport-opt08-strips,g_astar,9,1,"pick-up,(in ?p ?v),effPos,1",True,19,20,6,104,57,0.52,0.28,2.01,1.0,"pick-up,(in ?p ?v),effPos,1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/zenotravel__pp03-err-rate-0-3.yaml,zenotravel__pp03-err-rate-0-3,zenotravel,g_astar,6,1,"debark,(in ?p ?a),precPos,-1",True,16,20,4,144,86,0.7,0.28,2.36,2.0,"board,(at ?p ?c),effPos,1
debark,(in ?p ?a),precPos,-1",longer,False,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/freecell__pprobfreecell-3-4-err-rate-0-3.yaml,freecell__pprobfreecell-3-4-err-rate-0-3,freecell,g_astar,12,0,,True,13,14,8,16,8,1.12,0.41,3.04,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/pegsol-08-strips__pp04-err-rate-0-3.yaml,pegsol-08-strips__pp04-err-rate-0-3,pegsol-08-strips,g_astar,13,1,"end-move,(move-ended ),precPos,-1",True,14,14,8,92,58,1.61,0.63,3.60,1.0,"end-move,(move-ended ),precPos,-1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/satellite__pp02-pfile2-err-rate-0-1.yaml,satellite__pp02-pfile2-err-rate-0-1,satellite,g_astar,13,0,,True,18,62,4,224,112,0.36,0.34,5.39,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/satellite__pp01-pfile1-err-rate-0-3.yaml,satellite__pp01-pfile1-err-rate-0-3,satellite,g_astar,9,0,,True,10,22,4,72,36,0.14,0.18,2.89,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/scanalyzer-08-strips__pp23-err-rate-0-5.yaml,scanalyzer-08-strips__pp23-err-rate-0-5,scanalyzer-08-strips,g_astar,5,0,,True,6,6,0,0,0,0.21,0.1,1.59,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/transport-opt14-strips__pp01-err-rate-0-1.yaml,transport-opt14-strips__pp01-err-rate-0-1,transport-opt14-strips,g_astar,13,1,"drop,(capacity ?v ?s2),effPos,1",True,35,43,4,124,74,1.39,0.6,3.72,1.0,"drop,(capacity ?v ?s2),effPos,1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/mprime__pprob19-err-rate-0-1.yaml,mprime__pprob19-err-rate-0-1,mprime,g_astar,8,0,,True,18,30,4,48,24,0.94,0.86,6.76,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/hiking-opt14-strips__pptesting-2-2-3-err-rate-0-3.yaml,hiking-opt14-strips__pptesting-2-2-3-err-rate-0-3,hiking-opt14-strips,g_astar,10,0,,True,19,41,10,240,120,0.87,0.33,4.20,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/mprime__pprob26-err-rate-0-1.yaml,mprime__pprob26-err-rate-0-1,mprime,g_astar,6,0,,True,13,17,0,0,0,0.4,0.5,2.28,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/depot__pp01-err-rate-0-5.yaml,depot__pp01-err-rate-0-5,depot,g_astar,10,3,"drop,(clear ?z),precPos,-1
unload,(in ?y ?z),precPos,-1
drive,(at ?x ?z),effPos,1",False,7,,8,,,,,2.48,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/miconic__ps2-1-err-rate-0-1.yaml,miconic__ps2-1-err-rate-0-1,miconic,g_astar,8,1,"board,(above ?p ?p),precPos,-1",False,1,,0,,,,,1.21,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/miconic__ps1-3-err-rate-0-3.yaml,miconic__ps1-3-err-rate-0-3,miconic,g_astar,4,2,"up,(above ?f2 ?f2),precPos,-1
depart,(origin ?p ?f),precPos,-1",False,1,,0,,,,,1.17,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/miconic__ps1-0-err-rate-0-5.yaml,miconic__ps1-0-err-rate-0-5,miconic,g_astar,4,0,,True,5,5,0,0,0,0.02,0.06,1.24,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/mprime__pprob33-err-rate-0-1.yaml,mprime__pprob33-err-rate-0-1,mprime,g_astar,14,0,,True,87,97,0,0,0,4.93,5.07,13.02,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/blocks__pprobBLOCKS-4-1-err-rate-0-3.yaml,blocks__pprobBLOCKS-4-1-err-rate-0-3,blocks,g_astar,10,0,,True,11,20,6,52,32,0.08,0.1,1.46,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/blocks__pprobBLOCKS-4-2-err-rate-0-5.yaml,blocks__pprobBLOCKS-4-2-err-rate-0-5,blocks,g_astar,6,1,"unstack,(clear ?y),precPos,-1",False,1,,0,,,,,1.28,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/transport-sat08-strips__pp01-err-rate-0-1.yaml,transport-sat08-strips__pp01-err-rate-0-1,transport-sat08-strips,g_astar,6,1,"pick-up,(capacity-predecessor ?s2 ?s1),effPos,1",False,9,,6,,,,,1.82,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/nomystery-opt11-strips__pp12-err-rate-0-1.yaml,nomystery-opt11-strips__pp12-err-rate-0-1,nomystery-opt11-strips,g_astar,15,0,,True,16,20,4,8,4,9.47,13.11,28.30,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/mystery__pprob15-err-rate-0-5.yaml,mystery__pprob15-err-rate-0-5,mystery,g_astar,6,0,,True,7,10,2,4,2,0.28,0.33,2.05,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/mystery__pprob03-err-rate-0-3.yaml,mystery__pprob03-err-rate-0-3,mystery,g_astar,4,1,"succumb,(craves ?c ?n),effPos,1",True,6,7,2,12,7,0.17,0.19,1.62,1.0,"succumb,(craves ?c ?n),effPos,1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/scanalyzer-08-strips__pp02-err-rate-0-1.yaml,scanalyzer-08-strips__pp02-err-rate-0-1,scanalyzer-08-strips,g_astar,14,0,,True,28,41,2,8,8,1.45,0.51,3.88,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/hiking-opt14-strips__pptesting-1-2-3-err-rate-0-5.yaml,hiking-opt14-strips__pptesting-1-2-3-err-rate-0-5,hiking-opt14-strips,g_astar,13,1,"put_down,(next ?x2 ?x2),precPos,-1",False,1,,0,,,,,1.27,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/mprime__pprob11-err-rate-0-3.yaml,mprime__pprob11-err-rate-0-3,mprime,g_astar,7,0,,True,8,12,0,0,0,0.18,0.24,1.73,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/mprime__pprob12-err-rate-0-5.yaml,mprime__pprob12-err-rate-0-5,mprime,g_astar,11,0,,True,18,31,2,12,6,0.79,0.54,4.39,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/mprime__pprob04-err-rate-0-3.yaml,mprime__pprob04-err-rate-0-3,mprime,g_astar,9,0,,True,11,24,2,4,2,0.49,0.33,3.45,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/mystery__pprob29-err-rate-0-3.yaml,mystery__pprob29-err-rate-0-3,mystery,g_astar,4,1,"overcome,(fears ?v ?c),precPos,-1",True,8,8,0,0,7,0.14,0.28,1.60,1.0,"overcome,(fears ?v ?c),precPos,-1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/mprime__pprob07-err-rate-0-5.yaml,mprime__pprob07-err-rate-0-5,mprime,g_astar,5,1,"drink,(attacks ?n2 ?n2),precPos,-1",False,1,,0,,,,,1.21,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary-ff relax-prec lp066/freecell__pprobfreecell-2-3-err-rate-0-5.yaml,freecell__pprobfreecell-2-3-err-rate-0-5,freecell,g_astar,8,0,,True,9,9,0,0,0,0.36,0.24,1.82,0.0,,equal,,,,0.66,
