grounding method,lift_prob,search algorithm,instance_count,C_rate,C_abs,Q,max_h
G1,0.33,UCS,111,0.63,70.0,100.0,0.0
G1,0.33,A*_FF,324,0.66,221.0,100.0,8.0
G1,0.33,GBFS_FF,324,0.66,221.0,95.19,8.0
G1,0.33,DFS,324,0.68,220.0,98.26,
G1,0.66,UCS,111,0.65,72.0,100.0,0.0
G1,0.66,A*_FF,324,0.7,224.0,98.42,7.0
G1,0.66,GBFS_FF,324,0.65,219.0,96.46,7.0
G1,0.66,DFS,324,0.66,221.0,95.28,
G1,1.0,UCS,324,0.55,158.0,98.97,
G1,1.0,A*_FF,324,0.52,160.0,96.55,7.0
G1,1.0,GBFS_FF,324,0.52,163.0,91.26,7.0
G1,1.0,DFS,324,0.55,164.0,86.0,0.0
G2,0.33,UCS,324,0.66,218.0,100.0,0.0
G2,0.33,A*_FF,324,0.66,218.0,99.14,7.0
G2,0.33,GBFS_FF,324,0.66,218.0,94.59,7.0
G2,0.33,DFS,324,0.66,217.0,85.92,
G2,0.66,UCS,324,0.67,221.0,99.11,0.0
G2,0.66,A*_FF,324,0.68,223.0,94.38,7.0
G2,0.66,GBFS_FF,324,0.67,218.0,77.22,7.0
G2,0.66,DFS,324,0.66,213.0,54.07,
G2,1.0,UCS,324,0.52,152.0,99.14,0.0
G2,1.0,A*_FF,324,0.49,151.0,96.68,7.0
G2,1.0,GBFS_FF,324,0.4,139.0,61.78,5.0
G2,1.0,DFS,324,0.41,146.0,60.73,
G3,0.33,UCS,324,0.75,162.0,100.0,0.0
G3,0.33,A*_FF,324,0.74,158.0,96.83,6.0
G3,0.33,GBFS_FF,324,0.74,158.0,56.81,6.0
G3,0.33,DFS,324,0.75,162.0,39.71,
G3,0.66,UCS,324,0.5,101.0,100.0,0.0
G3,0.66,A*_FF,324,0.36,92.0,84.21,7.0
G3,0.66,GBFS_FF,324,0.4,92.0,33.51,6.0
G3,0.66,DFS,324,0.68,129.0,6.66,
G3,1.0,UCS,324,0.22,77.0,100.0,0.0
G3,1.0,A*_FF,324,0.18,68.0,84.23,6.0
G3,1.0,GBFS_FF,324,0.21,69.0,7.08,7.0
G3,1.0,DFS,324,0.28,78.0,24.4,
