"file name","problem name","plan length","num ground repair","run secs","iteration max","branching factor avg","results exists","result g cost","result h cost","result f cost","fringe size max","num neighbours sum"
"greedy_length_8_ged-opt14-strips_pd-2-3-err-rate-0-3.yaml","ged-opt14-strips/pd-2-3-err-rate-0-3","8","2","30.74","11","2.090909090909091","True","8","0","8","15","23"
"greedy_length_12_blocks_pprobBLOCKS-5-0-err-rate-0-5.yaml","blocks/pprobBLOCKS-5-0-err-rate-0-5","12","2","855.77","493","1.2535496957403651","True","6","0","6","128","618"
"greedy_length_10_blocks_pprobBLOCKS-5-1-err-rate-0-3.yaml","blocks/pprobBLOCKS-5-1-err-rate-0-3","10","2","346.04","178","1.4325842696629214","True","6","0","6","84","255"
"greedy_length_7_ged-opt14-strips_pd-2-4-err-rate-0-1.yaml","ged-opt14-strips/pd-2-4-err-rate-0-1","7","1","21.51","10","1.6","True","6","0","6","9","16"
"greedy_length_8_ged-opt14-strips_pd-3-2-err-rate-0-5.yaml","ged-opt14-strips/pd-3-2-err-rate-0-5","8","2","79.02","42","1.2380952380952381","True","5","0","5","15","52"
"greedy_length_7_ged-opt14-strips_pd-2-4-err-rate-0-3.yaml","ged-opt14-strips/pd-2-4-err-rate-0-3","7","1","18.96","8","1.75","True","5","0","5","8","14"
"greedy_length_10_rovers_pp01-err-rate-0-5.yaml","rovers/pp01-err-rate-0-5","10","5","351.91","221","1.0723981900452488","True","5","0","5","19","237"
"greedy_length_8_ged-opt14-strips_pd-3-2-err-rate-0-3.yaml","ged-opt14-strips/pd-3-2-err-rate-0-3","8","1","82.81","42","1.2380952380952381","True","4","0","4","15","52"
"greedy_length_8_rovers_pp04-err-rate-0-5.yaml","rovers/pp04-err-rate-0-5","8","3","282.58","168","1.1666666666666667","True","3","0","3","36","196"
"greedy_length_10_rovers_pp01-err-rate-0-3.yaml","rovers/pp01-err-rate-0-3","10","1","335.68","212","1.0754716981132075","True","3","0","3","19","228"
"greedy_length_7_visitall-opt11-strips_pproblem03-half-err-rate-0-5.yaml","visitall-opt11-strips/pproblem03-half-err-rate-0-5","7","1","196.64","9","16.22222222222222","True","3","0","3","139","146"
"greedy_length_10_rovers_pp01-err-rate-0-1.yaml","rovers/pp01-err-rate-0-1","10","1","659.46","446","1.0201793721973094","True","3","0","3","14","455"
"greedy_length_8_miconic_ps2-0-err-rate-0-3.yaml","miconic/ps2-0-err-rate-0-3","8","2","29.25","9","2.3333333333333335","True","2","0","2","14","21"
"greedy_length_4_miconic_ps1-2-err-rate-0-3.yaml","miconic/ps1-2-err-rate-0-3","4","2","4.87","5","0.8","True","2","0","2","1","4"
"greedy_length_8_rovers_pp02-err-rate-0-5.yaml","rovers/pp02-err-rate-0-5","8","2","52.58","33","1.1515151515151516","True","2","0","2","9","38"
"greedy_length_3_miconic_ps1-1-err-rate-0-5.yaml","miconic/ps1-1-err-rate-0-5","3","1","3.24","4","0.75","True","1","0","1","1","3"
"greedy_length_13_pegsol-08-strips_pp04-err-rate-0-3.yaml","pegsol-08-strips/pp04-err-rate-0-3","13","1","256.82","14","13.857142857142858","True","1","0","1","182","194"
"greedy_length_13_ged-opt14-strips_pd-7-6-err-rate-0-5.yaml","ged-opt14-strips/pd-7-6-err-rate-0-5","13","1","348.31","251","1.0398406374501992","True","1","0","1","20","261"
"greedy_length_7_mprime_pprob21-err-rate-0-5.yaml","mprime/pprob21-err-rate-0-5","7","2","743.92","8","57.75","True","1","0","1","456","462"
"greedy_length_1_visitall-opt11-strips_pproblem02-half-err-rate-0-3.yaml","visitall-opt11-strips/pproblem02-half-err-rate-0-3","1","1","0.14","2","2","True","1","0","1","4","4"
"greedy_length_8_tpp_pp02-err-rate-0-1.yaml","tpp/pp02-err-rate-0-1","8","1","16.45","9","1.3333333333333333","True","1","0","1","5","12"
