"file_name","problem_name","plan_length","num_ground_repair","str_ground_repair","run_time","error","results_exists","result_depth","result_repair_set","result_g_cost","result_h_cost","result_f_cost","num_neighbours","iteration_min","iteration_max","iteration_median","iteration_avg","iteration_sum","depth_min","depth_max","depth_median","depth_avg","depth_sum","branching_factor_min","branching_factor_max","branching_factor_median","branching_factor_avg","branching_factor_sum","fringe_size_min","fringe_size_max","fringe_size_median","fringe_size_avg","fringe_size_sum","h_cost_min","h_cost_max","h_cost_median","h_cost_avg","h_cost_sum","g_cost_min","g_cost_max","g_cost_median","g_cost_avg","g_cost_sum","f_cost_min","f_cost_max","f_cost_median","f_cost_avg","f_cost_sum","num_neighbours_min","num_neighbours_max","num_neighbours_median","num_neighbours_avg","num_neighbours_sum"
"greedy_length_10_rovers_pp01-err-rate-0-5.yaml","rovers/pp01-err-rate-0-5",10,5,"drop,(empty ?y),effPos,1
navigate,(have_soil_analysis ?x ?z),effPos,1
drop,(full ?y),precPos,-1
communicate_image_data,(have_image ?r ?o ?m),precPos,-1
communicate_soil_data,(communicated_soil_data ?x),effPos,1","0.1 hours = 5.9 minutes = 351.91 seconds","",True,10,"drop,(full ?y),precPos,-1
communicate_soil_data,(have_soil_analysis ?r ?p),precPos,-1
communicate_image_data,(have_image ?r ?o ?m),precPos,-1
communicate_soil_data,(communicated_soil_data ?p),effPos,1
drop,(empty ?y),effPos,1",5,0,5,0,1,221,111,111,24531,0,10,8,7.475113122171946,1652,0,6,1,1.0723981900452488,237,1,19,14,13.963800904977376,3086,0,1,1,0.9909502262443439,219,0,5,3,2.7194570135746607,601,0,5,4,3.7104072398190047,820,0,6,1,1.0723981900452488,237
"greedy_length_8_rovers_pp04-err-rate-0-5.yaml","rovers/pp04-err-rate-0-5",8,3,"take_image,(have_image ?r ?o ?m),effPos,1
navigate,(have_rock_analysis ?x ?z),effPos,1
take_image,(calibrated ?i ?r),precPos,-1","0.1 hours = 4.7 minutes = 282.58 seconds","",True,8,"communicate_image_data,(have_image ?r ?o ?m),precPos,-1
communicate_rock_data,(have_rock_analysis ?r ?p),precPos,-1
take_image,(calibrated ?i ?r),precPos,-1",3,0,3,0,1,168,84.5,84.5,14196,0,8,4.0,4.303571428571429,723,0,18,0.0,1.1666666666666667,196,2,36,20.0,21.023809523809526,3532,0,1,1.0,0.8214285714285714,138,0,3,2.0,2.0416666666666665,343,0,3,3.0,2.863095238095238,481,0,18,0.0,1.1666666666666667,196
"greedy_length_13_pegsol-08-strips_pp04-err-rate-0-3.yaml","pegsol-08-strips/pp04-err-rate-0-3",13,1,"jump-new-move,(move-ended ),effPos,1","0.1 hours = 4.3 minutes = 256.82 seconds","",True,13,"jump-new-move,(move-ended ),effPos,1",1,0,1,0,1,14,7.5,7.5,105,0,13,6.5,6.5,91,0,76,1.5,13.857142857142858,194,76,182,141.0,137.21428571428572,1921,0,1,0.0,0.07142857142857142,1,0,1,1.0,0.8571428571428571,12,0,1,1.0,0.9285714285714286,13,0,76,1.5,13.857142857142858,194
"greedy_length_3_miconic_ps1-1-err-rate-0-5.yaml","miconic/ps1-1-err-rate-0-5",3,1,"depart,(boarded ?p),precPos,-1","0.0 hours = 0.1 minutes = 3.24 seconds","",True,3,"depart,(boarded ?p),precPos,-1",1,0,1,0,1,4,2.5,2.5,10,0,3,1.5,1.5,6,0,1,1.0,0.75,3,0,1,1.0,0.75,3,0,1,0.5,0.5,2,0,1,0.0,0.25,1,0,1,1.0,0.75,3,0,1,1.0,0.75,3
"greedy_length_8_miconic_ps2-0-err-rate-0-5.yaml","miconic/ps2-0-err-rate-0-5",8,2,"depart,(served ?p),effPos,1
depart,(boarded ?p),precPos,-1","","",False,"","","","","",2,1,652,326.5,326.5,212878,0,7,7.0,6.315950920245399,4118,0,6,0.0,1.0046012269938651,655,1,19,9.0,9.02760736196319,5886,0,1,1.0,0.9984662576687117,651,0,3,2.0,1.9616564417177915,1279,0,4,3.0,2.960122699386503,1930,0,6,0.0,1.0046012269938651,655
"greedy_length_12_blocks_pprobBLOCKS-5-0-err-rate-0-5.yaml","blocks/pprobBLOCKS-5-0-err-rate-0-5",12,2,"unstack,(clear ?y),effPos,1
pick-up,(holding ?x),effPos,1","0.2 hours = 14.3 minutes = 855.77 seconds","",True,12,"stack,(holding ?x),precPos,-1
stack,(clear ?y),precPos,-1
unstack,(clear ?x),precPos,-1
unstack,(on ?x ?y),effPos,1
stack,(on ?y ?x),effPos,1
pick-up,(holding ?x),effPos,1",6,0,6,0,1,493,247,247,121771,0,12,10,8.81947261663286,4348,0,25,1,1.2535496957403651,618,1,128,33,51.74239350912779,25509,0,1,0,0.35699797160243407,176,0,6,2,2.290060851926978,1129,0,6,3,2.6470588235294117,1305,0,25,1,1.2535496957403651,618
"greedy_length_13_ged-opt14-strips_pd-7-6-err-rate-0-5.yaml","ged-opt14-strips/pd-7-6-err-rate-0-5",13,1,"begin-cut,(not (idle )),effNeg,-1","0.1 hours = 5.8 minutes = 348.31 seconds","",True,13,"begin-cut,(not (idle )),effNeg,-1",1,0,1,0,1,251,126,126,31626,0,13,11,10.772908366533864,2704,0,6,1,1.0398406374501992,261,6,20,14,14.143426294820717,3550,0,1,0,0.043824701195219126,11,0,1,1,0.952191235059761,239,0,1,1,0.9960159362549801,250,0,6,1,1.0398406374501992,261
"greedy_length_8_tpp_pp02-err-rate-0-1.yaml","tpp/pp02-err-rate-0-1",8,1,"load,(loaded ?g ?t ?l4),effPos,1","0.0 hours = 0.3 minutes = 16.45 seconds","",True,8,"load,(loaded ?g ?t ?l4),effPos,1",1,0,1,0,1,9,5,5,45,0,8,4,4,36,0,2,1,1.3333333333333333,12,2,5,3,3.5555555555555554,32,0,1,1,0.6666666666666666,6,0,1,0,0.2222222222222222,2,0,1,1,0.8888888888888888,8,0,2,1,1.3333333333333333,12
"greedy_length_1_visitall-opt11-strips_pproblem02-half-err-rate-0-3.yaml","visitall-opt11-strips/pproblem02-half-err-rate-0-3",1,1,"move,(visited ?nextpos),effPos,1","0.0 hours = 0.0 minutes = 0.14 seconds","",True,1,"move,(visited ?nextpos),effPos,1",1,0,1,0,1,2,1.5,1.5,3,0,1,0.5,0.5,1,0,4,2.0,2,4,3,4,3.5,3.5,7,0,0,0.0,0,0,0,1,0.5,0.5,1,0,1,0.5,0.5,1,0,4,2.0,2,4
"greedy_length_12_miconic_ps3-2-err-rate-0-1.yaml","miconic/ps3-2-err-rate-0-1",12,1,"depart,(served ?p),precPos,-1","","",False,"","","","","",1,1,494,247.5,247.5,122265,0,11,11.0,9.65991902834008,4772,0,15,0.0,1.263157894736842,624,14,138,86.0,76.90688259109312,37992,0,1,0.0,0.30364372469635625,150,0,3,3.0,2.408906882591093,1190,0,4,3.0,2.7125506072874495,1340,0,15,0.0,1.263157894736842,624
"greedy_length_7_mprime_pprob21-err-rate-0-5.yaml","mprime/pprob21-err-rate-0-5",7,2,"succumb,(fears ?c ?v),precPos,-1
feast,(locale ?n2 ?l2),effPos,1","0.2 hours = 12.4 minutes = 743.92 seconds","",True,7,"succumb,(fears ?c ?v),precPos,-1",1,0,1,0,1,8,4.5,4.5,36,0,7,3.5,3.5,28,0,165,47.0,57.75,462,49,456,336.5,289.25,2314,0,1,1.0,0.75,6,0,1,0.0,0.125,1,0,1,1.0,0.875,7,0,165,47.0,57.75,462
"greedy_length_4_mystery_pprob03-err-rate-0-3.yaml","mystery/pprob03-err-rate-0-3",4,1,"succumb,(craves ?c ?n),effPos,1","","",False,"","","","","",0,1,259,130,130,33670,0,3,3,2.976833976833977,771,0,268,0,2.0424710424710426,529,268,527,398,398.003861003861,103083,0,0,0,0,0,0,2,2,1.471042471042471,381,0,2,2,1.471042471042471,381,0,268,0,2.0424710424710426,529
"greedy_length_8_rovers_pp02-err-rate-0-5.yaml","rovers/pp02-err-rate-0-5",8,2,"calibrate,(equipped_for_soil_analysis ?r),effPos,1
communicate_image_data,(at_lander ?l ?y),effPos,1","0.0 hours = 0.9 minutes = 52.58 seconds","",True,8,"calibrate,(equipped_for_soil_analysis ?r),effPos,1
communicate_image_data,(at_lander ?l ?y),effPos,1",2,0,2,0,1,33,17,17,561,0,8,5,4.909090909090909,162,0,6,1,1.1515151515151516,38,2,9,7,6.818181818181818,225,0,1,1,0.8484848484848485,28,0,2,1,0.9090909090909091,30,0,3,2,1.7575757575757576,58,0,6,1,1.1515151515151516,38
"greedy_length_4_miconic_ps1-2-err-rate-0-3.yaml","miconic/ps1-2-err-rate-0-3",4,2,"up,(not (lift-at ?f1)),effNeg,-1
depart,(served ?p),effPos,1","0.0 hours = 0.1 minutes = 4.87 seconds","",True,4,"up,(not (lift-at ?f1)),effNeg,-1
depart,(served ?p),effPos,1",2,0,2,0,1,5,3,3,15,0,4,2,2,10,0,1,1,0.8,4,0,1,1,0.8,4,0,1,1,0.6,3,0,2,0,0.4,2,0,2,1,1,5,0,1,1,0.8,4
