"file name","problem name","plan length","num ground repair","run secs","iteration max","branching factor avg","results exists","result g cost","result h cost","result f cost","fringe size max","num neighbours sum"
"dfs_length_11_tpp_pp03-err-rate-0-5.yaml","tpp/pp03-err-rate-0-5","11","1","5.89","37","3.324324324324324","True","9","0","9","1","123"
"dfs_length_8_tpp_pp02-err-rate-0-3.yaml","tpp/pp02-err-rate-0-3","8","1","7.33","63","2.1746031746031744","True","9","0","9","1","137"
"dfs_length_10_rovers_pp01-err-rate-0-5.yaml","rovers/pp01-err-rate-0-5","10","5","1.61","14","2.357142857142857","True","7","0","7","1","33"
"dfs_length_10_blocks_pprobBLOCKS-5-1-err-rate-0-3.yaml","blocks/pprobBLOCKS-5-1-err-rate-0-3","10","2","37.91","363","1.0826446280991735","True","7","0","7","1","393"
"dfs_length_7_mprime_pprob21-err-rate-0-5.yaml","mprime/pprob21-err-rate-0-5","7","2","5.19","8","60.25","True","6","0","6","1","482"
"dfs_length_7_ged-opt14-strips_pd-2-4-err-rate-0-1.yaml","ged-opt14-strips/pd-2-4-err-rate-0-1","7","1","1.13","10","1.6","True","6","0","6","1","16"
"dfs_length_7_ged-opt14-strips_pd-2-4-err-rate-0-3.yaml","ged-opt14-strips/pd-2-4-err-rate-0-3","7","1","0.86","8","1.75","True","5","0","5","1","14"
"dfs_length_5_mystery_pprob01-err-rate-0-3.yaml","mystery/pprob01-err-rate-0-3","5","1","0.95","6","22","True","5","0","5","1","132"
"dfs_length_5_mprime_pprob31-err-rate-0-5.yaml","mprime/pprob31-err-rate-0-5","5","1","9.9","15","22.333333333333332","True","5","0","5","1","335"
"dfs_length_8_rovers_pp04-err-rate-0-5.yaml","rovers/pp04-err-rate-0-5","8","3","45.07","408","1.0808823529411764","True","5","0","5","1","441"
"dfs_length_8_ged-opt14-strips_pd-2-3-err-rate-0-3.yaml","ged-opt14-strips/pd-2-3-err-rate-0-3","8","2","3.74","31","1.3548387096774193","True","5","0","5","1","42"
"dfs_length_11_miconic_ps3-4-err-rate-0-1.yaml","miconic/ps3-4-err-rate-0-1","11","1","75.39","657","1.0761035007610351","True","4","0","4","1","707"
