"file_name","problem_name","plan_length","num_ground_repair","str_ground_repair","run_time","error","results_exists","result_depth","result_repair_set","result_g_cost","result_h_cost","result_f_cost","num_neighbours","iteration_min","iteration_max","iteration_median","iteration_avg","iteration_sum","depth_min","depth_max","depth_median","depth_avg","depth_sum","branching_factor_min","branching_factor_max","branching_factor_median","branching_factor_avg","branching_factor_sum","fringe_size_min","fringe_size_max","fringe_size_median","fringe_size_avg","fringe_size_sum","h_cost_min","h_cost_max","h_cost_median","h_cost_avg","h_cost_sum","g_cost_min","g_cost_max","g_cost_median","g_cost_avg","g_cost_sum","f_cost_min","f_cost_max","f_cost_median","f_cost_avg","f_cost_sum","num_neighbours_min","num_neighbours_max","num_neighbours_median","num_neighbours_avg","num_neighbours_sum"
"bfs_length_7_visitall-opt11-strips_pproblem03-half-err-rate-0-5.yaml","visitall-opt11-strips/pproblem03-half-err-rate-0-5",7,1,"move,(visited ?nextpos),effPos,1","0.0 hours = 0.1 minutes = 6.49 seconds","",True,7,"move,(visited ?nextpos),effPos,1",1,0,1,0,1,65,33,33,2145,0,7,5,4.6461538461538465,302,0,24,0,5.246153846153846,341,1,286,179,174.1076923076923,11317,0,0,0,0,0,0,1,0,0.015384615384615385,1,0,1,0,0.015384615384615385,1,0,24,0,5.246153846153846,341
"bfs_length_12_nomystery-opt11-strips_pp11-err-rate-0-3.yaml","nomystery-opt11-strips/pp11-err-rate-0-3",12,1,"unload,(in ?p ?t),precPos,-1","0.0 hours = 0.2 minutes = 14.28 seconds","",True,10,"drive,(at ?t ?l1),effPos,1
unload,(in ?p ?t),precPos,-1",2,0,2,0,1,113,57,57,6441,0,10,1,2.4513274336283186,277,0,67,0,0.9911504424778761,112,0,69,37,38.50442477876106,4351,0,0,0,0,0,0,2,1,0.9557522123893806,108,0,2,1,0.9557522123893806,108,0,67,0,0.9911504424778761,112
"bfs_length_10_blocks_pprobBLOCKS-4-1-err-rate-0-5.yaml","blocks/pprobBLOCKS-4-1-err-rate-0-5",10,2,"unstack,(clear ?y),effPos,1
pick-up,(holding ?x),effPos,1","0.0 hours = 0.0 minutes = 1.19 seconds","",True,2,"put-down,(holding ?x),precPos,-1",1,0,1,0,1,12,6.5,6.5,78,0,4,2.5,2.5833333333333335,31,0,4,0.5,0.9166666666666666,11,0,4,2.5,2.3333333333333335,28,0,0,0.0,0,0,0,1,1.0,0.75,9,0,1,1.0,0.75,9,0,4,0.5,0.9166666666666666,11
"bfs_length_8_tpp_pp02-err-rate-0-3.yaml","tpp/pp02-err-rate-0-3",8,1,"buy,(next ?l4 ?l1),effPos,1","0.0 hours = 0.0 minutes = 1.06 seconds","",True,8,"buy,(next ?l4 ?l1),effPos,1",1,0,1,0,1,10,5.5,5.5,55,0,8,3.5,3.8,38,0,2,1.0,1.1,11,1,3,2.0,2,20,0,0,0.0,0,0,0,1,1.0,0.6,6,0,1,1.0,0.6,6,0,2,1.0,1.1,11
"bfs_length_8_rovers_pp04-err-rate-0-3.yaml","rovers/pp04-err-rate-0-3",8,1,"take_image,(calibrated ?i ?r),precPos,-1","0.0 hours = 0.0 minutes = 1.55 seconds","",True,8,"take_image,(calibrated ?i ?r),precPos,-1",1,0,1,0,1,15,8,8,120,0,8,3,3.533333333333333,53,0,6,1,1.2,18,1,10,5,5.466666666666667,82,0,0,0,0,0,0,1,1,0.7333333333333333,11,0,1,1,0.7333333333333333,11,0,6,1,1.2,18
"bfs_length_11_tpp_pp03-err-rate-0-1.yaml","tpp/pp03-err-rate-0-1",11,1,"buy,(loaded ?g ?t ?l2),effPos,1","0.0 hours = 0.0 minutes = 1.64 seconds","",True,11,"buy,(loaded ?g ?t ?l2),effPos,1",1,0,1,0,1,17,9,9,153,0,11,6,5.764705882352941,98,0,3,1,1,17,1,4,2,1.8823529411764706,32,0,0,0,0,0,0,1,0,0.35294117647058826,6,0,1,0,0.35294117647058826,6,0,3,1,1,17
"bfs_length_8_tpp_pp02-err-rate-0-1.yaml","tpp/pp02-err-rate-0-1",8,1,"load,(loaded ?g ?t ?l4),effPos,1","0.0 hours = 0.0 minutes = 0.94 seconds","",True,8,"load,(loaded ?g ?t ?l4),effPos,1",1,0,1,0,1,10,5.5,5.5,55,0,8,3.5,3.8,38,0,2,1.0,1,10,1,2,1.0,1.3,13,0,0,0.0,0,0,0,1,0.0,0.2,2,0,1,0.0,0.2,2,0,2,1.0,1,10
"bfs_length_11_gripper_pprob01-err-rate-0-1.yaml","gripper/pprob01-err-rate-0-1",11,1,"move,(at-robby ?to),effPos,1","0.0 hours = 0.0 minutes = 2.89 seconds","",True,11,"move,(at-robby ?to),effPos,1",1,0,1,0,1,30,15.5,15.5,465,0,11,3.0,3.8,114,0,3,2.0,1.7666666666666666,53,2,25,18.5,16.6,498,0,0,0.0,0,0,0,1,0.0,0.3,9,0,1,0.0,0.3,9,0,3,2.0,1.7666666666666666,53
"bfs_length_8_ged-opt14-strips_pd-2-3-err-rate-0-3.yaml","ged-opt14-strips/pd-2-3-err-rate-0-3",8,2,"invert-single-gene-a,(have-cut ),effPos,1
begin-transpose-splice,(splicing ),effPos,1","0.0 hours = 0.0 minutes = 2.66 seconds","",True,8,"invert-single-gene-a,(have-cut ),effPos,1
begin-transpose-splice,(splicing ),effPos,1",2,0,2,0,1,20,10.5,10.5,210,0,8,4.0,4.1,82,0,5,1.0,1.1,22,1,8,5.0,4.8,96,0,0,0.0,0,0,0,2,0.0,0.4,8,0,2,0.0,0.4,8,0,5,1.0,1.1,22
"bfs_length_7_mprime_pprob21-err-rate-0-5.yaml","mprime/pprob21-err-rate-0-5",7,2,"succumb,(fears ?c ?v),precPos,-1
drink,(locale ?n1 ?l12),effPos,1","0.0 hours = 0.1 minutes = 6.43 seconds","",True,5,"",0,0,0,0,1,57,29,29,1653,0,5,5,4.192982456140351,239,0,4,0,0.9824561403508771,56,0,8,4,3.736842105263158,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.9824561403508771,56
