"file name","problem name","plan length","num ground repair","run secs","iteration max","branching factor avg","results exists","result g cost","result h cost","result f cost","fringe size max","num neighbours sum"
"bb_length_10_rovers_pp01-err-rate-0-5.yaml","rovers/pp01-err-rate-0-5","10","5","27.87","11","0.9523809523809523","True","5.0","0","5","1","20"
"bb_length_8_rovers_pp04-err-rate-0-5.yaml","rovers/pp04-err-rate-0-5","8","3","19.59","9","0.9230769230769231","True","3.0","0","3","1","12"
"bb_length_8_rovers_pp02-err-rate-0-5.yaml","rovers/pp02-err-rate-0-5","8","2","18.09","9","0.9285714285714286","True","2.0","0","2","1","13"
"bb_length_8_ged-opt14-strips_pd-2-3-err-rate-0-3.yaml","ged-opt14-strips/pd-2-3-err-rate-0-3","8","2","18.78","9","0.9333333333333333","True","2.0","0","2","1","14"
"bb_length_8_miconic_ps2-0-err-rate-0-3.yaml","miconic/ps2-0-err-rate-0-3","8","2","12.73","9","0.9090909090909091","True","2.0","0","2","1","10"
"bb_length_8_ged-opt14-strips_pd-3-2-err-rate-0-5.yaml","ged-opt14-strips/pd-3-2-err-rate-0-5","8","2","14.15","9","0.9166666666666666","True","2.0","0","2","1","11"
"bb_length_11_miconic_ps3-4-err-rate-0-3.yaml","miconic/ps3-4-err-rate-0-3","11","2","18.59","12","0.9333333333333333","True","2.0","0","2","1","14"
"bb_length_4_miconic_ps1-2-err-rate-0-3.yaml","miconic/ps1-2-err-rate-0-3","4","2","8.55","5","0.8888888888888888","True","2.0","0","2","1","8"
"bb_length_10_blocks_pprobBLOCKS-5-1-err-rate-0-3.yaml","blocks/pprobBLOCKS-5-1-err-rate-0-3","10","2","16.53","11","0.9230769230769231","True","2.0","0","2","1","12"
"bb_length_7_ged-opt14-strips_pd-2-4-err-rate-0-1.yaml","ged-opt14-strips/pd-2-4-err-rate-0-1","7","1","10.22","8","0.8888888888888888","True","1.0","0","1","1","8"
"bb_length_8_rovers_pp02-err-rate-0-3.yaml","rovers/pp02-err-rate-0-3","8","1","20.37","9","0.9375","True","1.0","0","1","1","15"
"bb_length_12_transport-opt08-strips_pp22-err-rate-0-1.yaml","transport-opt08-strips/pp22-err-rate-0-1","12","1","31.25","13","0.96","True","1.0","0","1","1","24"
"bb_length_8_rovers_pp04-err-rate-0-3.yaml","rovers/pp04-err-rate-0-3","8","1","12.07","9","0.9","True","1.0","0","1","1","9"
"bb_length_11_gripper_pprob01-err-rate-0-3.yaml","gripper/pprob01-err-rate-0-3","11","1","15.45","12","0.9230769230769231","True","1.0","0","1","1","12"
"bb_length_7_miconic_ps2-3-err-rate-0-3.yaml","miconic/ps2-3-err-rate-0-3","7","1","10.58","8","0.8888888888888888","True","1.0","0","1","1","8"
"bb_length_7_miconic_ps2-3-err-rate-0-5.yaml","miconic/ps2-3-err-rate-0-5","7","1","9.42","8","0.8888888888888888","True","1.0","0","1","1","8"
"bb_length_3_visitall-opt11-strips_pproblem02-full-err-rate-0-5.yaml","visitall-opt11-strips/pproblem02-full-err-rate-0-5","3","1","5.42","4","0.8571428571428571","True","1.0","0","1","1","6"
"bb_length_4_mystery_pprob03-err-rate-0-3.yaml","mystery/pprob03-err-rate-0-3","4","1","9.06","5","0.8888888888888888","True","1.0","0","1","1","8"
"bb_length_12_rovers_pp03-err-rate-0-3.yaml","rovers/pp03-err-rate-0-3","12","1","18.24","13","0.9285714285714286","True","1.0","0","1","1","13"
"bb_length_8_tpp_pp02-err-rate-0-3.yaml","tpp/pp02-err-rate-0-3","8","1","18.5","9","0.9090909090909091","True","1.0","0","1","1","10"
"bb_length_4_mystery_pprob29-err-rate-0-3.yaml","mystery/pprob29-err-rate-0-3","4","1","5.59","5","0.8333333333333334","True","1.0","0","1","1","5"
"bb_length_10_rovers_pp01-err-rate-0-1.yaml","rovers/pp01-err-rate-0-1","10","1","15.9","11","0.9166666666666666","True","1.0","0","1","1","11"
"bb_length_1_visitall-opt11-strips_pproblem02-half-err-rate-0-3.yaml","visitall-opt11-strips/pproblem02-half-err-rate-0-3","1","1","0.23","2","0.6666666666666666","True","1.0","0","1","1","2"
"bb_length_5_transport-opt08-strips_pp01-err-rate-0-3.yaml","transport-opt08-strips/pp01-err-rate-0-3","5","1","9.12","6","0.8571428571428571","True","1.0","0","1","1","6"
"bb_length_9_mystery_pprob28-err-rate-0-3.yaml","mystery/pprob28-err-rate-0-3","9","1","13.84","10","0.9090909090909091","True","1.0","0","1","1","10"
"bb_length_3_visitall-opt11-strips_pproblem02-full-err-rate-0-1.yaml","visitall-opt11-strips/pproblem02-full-err-rate-0-1","3","1","5.68","4","0.8571428571428571","True","1.0","0","1","1","6"
"bb_length_13_miconic_ps3-0-err-rate-0-1.yaml","miconic/ps3-0-err-rate-0-1","13","1","17.93","14","0.9333333333333333","True","1.0","0","1","1","14"
"bb_length_5_mystery_pprob01-err-rate-0-3.yaml","mystery/pprob01-err-rate-0-3","5","1","10.97","6","0.9090909090909091","True","1.0","0","1","1","10"
"bb_length_13_ged-opt14-strips_pd-7-6-err-rate-0-5.yaml","ged-opt14-strips/pd-7-6-err-rate-0-5","13","1","17.91","14","0.9333333333333333","True","1.0","0","1","1","14"
"bb_length_12_nomystery-opt11-strips_pp11-err-rate-0-3.yaml","nomystery-opt11-strips/pp11-err-rate-0-3","12","1","25.68","13","0.9285714285714286","True","1.0","0","1","1","13"
"bb_length_7_pegsol-08-strips_pp01-err-rate-0-3.yaml","pegsol-08-strips/pp01-err-rate-0-3","7","1","9.96","8","0.8888888888888888","True","1.0","0","1","1","8"
"bb_length_7_mystery_pprob11-err-rate-0-5.yaml","mystery/pprob11-err-rate-0-5","7","1","16.42","8","0.9333333333333333","True","1.0","0","1","1","14"
"bb_length_1_ged-opt14-strips_pd-1-2-err-rate-0-5.yaml","ged-opt14-strips/pd-1-2-err-rate-0-5","1","1","0.27","2","0.6666666666666666","True","1.0","0","1","1","2"
"bb_length_8_ged-opt14-strips_pd-3-2-err-rate-0-3.yaml","ged-opt14-strips/pd-3-2-err-rate-0-3","8","1","11.32","9","0.9","True","1.0","0","1","1","9"
"bb_length_3_miconic_ps1-1-err-rate-0-1.yaml","miconic/ps1-1-err-rate-0-1","3","1","4.5","4","0.8","True","1.0","0","1","1","4"
"bb_length_11_tpp_pp03-err-rate-0-5.yaml","tpp/pp03-err-rate-0-5","11","1","19.58","12","0.9285714285714286","True","1.0","0","1","1","13"
"bb_length_8_tpp_pp02-err-rate-0-1.yaml","tpp/pp02-err-rate-0-1","8","1","13.42","9","0.9","True","1.0","0","1","1","9"
"bb_length_11_miconic_ps3-4-err-rate-0-1.yaml","miconic/ps3-4-err-rate-0-1","11","1","32.14","12","0.9565217391304348","True","1.0","0","1","1","22"
"bb_length_4_miconic_ps1-3-err-rate-0-1.yaml","miconic/ps1-3-err-rate-0-1","4","1","5.25","5","0.8333333333333334","True","1.0","0","1","1","5"
"bb_length_10_rovers_pp01-err-rate-0-3.yaml","rovers/pp01-err-rate-0-3","10","1","16.4","11","0.9166666666666666","True","1.0","0","1","1","11"
"bb_length_7_driverlog_pp01-err-rate-0-1.yaml","driverlog/pp01-err-rate-0-1","7","1","11.55","8","0.8888888888888888","True","1.0","0","1","1","8"
"bb_length_12_rovers_pp03-err-rate-0-5.yaml","rovers/pp03-err-rate-0-5","12","1","18.66","13","0.9285714285714286","True","1.0","0","1","1","13"
"bb_length_7_ged-opt14-strips_pd-2-4-err-rate-0-3.yaml","ged-opt14-strips/pd-2-4-err-rate-0-3","7","1","17.36","8","0.9333333333333333","True","1.0","0","1","1","14"
"bb_length_13_pegsol-08-strips_pp04-err-rate-0-3.yaml","pegsol-08-strips/pp04-err-rate-0-3","13","1","17.66","14","0.9333333333333333","True","1.0","0","1","1","14"
"bb_length_3_miconic_ps1-1-err-rate-0-5.yaml","miconic/ps1-1-err-rate-0-5","3","1","4.6","4","0.8","True","1.0","0","1","1","4"
"bb_length_11_tpp_pp03-err-rate-0-1.yaml","tpp/pp03-err-rate-0-1","11","1","18.07","12","0.9230769230769231","True","1.0","0","1","1","12"
"bb_length_7_visitall-opt11-strips_pproblem03-half-err-rate-0-5.yaml","visitall-opt11-strips/pproblem03-half-err-rate-0-5","7","1","16.89","8","0.9333333333333333","True","1.0","0","1","1","14"
"bb_length_5_mprime_pprob31-err-rate-0-5.yaml","mprime/pprob31-err-rate-0-5","5","1","7.48","6","0.8571428571428571","True","1.0","0","1","1","6"
"bb_length_13_ged-opt14-strips_pd-7-6-err-rate-0-1.yaml","ged-opt14-strips/pd-7-6-err-rate-0-1","13","0","17.32","14","0.9333333333333333","True","0.0","0","0","1","14"
"bb_length_10_blocks_pprobBLOCKS-4-1-err-rate-0-5.yaml","blocks/pprobBLOCKS-4-1-err-rate-0-5","10","2","3.33","3","0.6666666666666666","False","","","","1","2"
"00 config.yaml","","","","","","","False","","","","",""
"bb_length_12_blocks_pprobBLOCKS-5-0-err-rate-0-5.yaml","blocks/pprobBLOCKS-5-0-err-rate-0-5","12","2","5.69","5","0.8","False","","","","1","4"
"bb_length_8_miconic_ps2-0-err-rate-0-5.yaml","miconic/ps2-0-err-rate-0-5","8","2","9.87","8","0.875","False","","","","1","7"
"bb_length_11_gripper_pprob01-err-rate-0-1.yaml","gripper/pprob01-err-rate-0-1","11","1","6.0","5","0.8","False","","","","1","4"
"bb_length_12_miconic_ps3-2-err-rate-0-1.yaml","miconic/ps3-2-err-rate-0-1","12","1","10.1","8","0.875","False","","","","1","7"
"bb_length_12_visitall-opt11-strips_pproblem03-full-err-rate-0-1.yaml","visitall-opt11-strips/pproblem03-full-err-rate-0-1","12","1","2.85","3","0.6666666666666666","False","","","","1","2"
"bb_length_7_mprime_pprob21-err-rate-0-5.yaml","mprime/pprob21-err-rate-0-5","7","2","7.55","6","0.8333333333333334","False","","","","1","5"
"bb_length_11_mprime_pprob12-err-rate-0-3.yaml","mprime/pprob12-err-rate-0-3","11","1","11.94","8","0.875","False","","","","1","7"
