"file_name","problem_name","plan_length","num_ground_repair","str_ground_repair","run_time","error","results_exists","result_depth","result_repair_set","result_g_cost","result_h_cost","result_f_cost","result_iterative_g_costs","num_neighbours","iteration_min","iteration_max","iteration_median","iteration_avg","iteration_sum","depth_min","depth_max","depth_median","depth_avg","depth_sum","branching_factor_min","branching_factor_max","branching_factor_median","branching_factor_avg","branching_factor_sum","fringe_size_min","fringe_size_max","fringe_size_median","fringe_size_avg","fringe_size_sum","h_cost_min","h_cost_max","h_cost_median","h_cost_avg","h_cost_sum","g_cost_min","g_cost_max","g_cost_median","g_cost_avg","g_cost_sum","f_cost_min","f_cost_max","f_cost_median","f_cost_avg","f_cost_sum","num_neighbours_min","num_neighbours_max","num_neighbours_median","num_neighbours_avg","num_neighbours_sum"
"bb_length_8_rovers_pp02-err-rate-0-3.yaml","rovers/pp02-err-rate-0-3",8,1,"sample_soil,(not (available ?x)),effNeg,-1","0.0 hours = 0.3 minutes = 20.37 seconds","",True,8,"sample_soil,(not (available ?x)),effNeg,-1",1,0,1,"1",1,1,9,4.5,4.5625,73,0,8,3.5,3.5625,57,0,1,1.0,0.9375,15,0,1,1.0,0.875,14,0,1,0.0,0.0625,1,0,1,0.0,0.0625,1,0,1,0.0,0.125,2,0,1,1.0,0.9375,15
"bb_length_8_rovers_pp04-err-rate-0-3.yaml","rovers/pp04-err-rate-0-3",8,1,"calibrate,(calibrated ?i ?r),effPos,1","0.0 hours = 0.2 minutes = 12.07 seconds","",True,8,"calibrate,(calibrated ?i ?r),effPos,1",1,0,1,"1",1,1,9,4.5,4.6,46,0,8,3.5,3.6,36,0,1,1.0,0.9,9,0,1,1.0,0.8,8,0,1,0.0,0.2,2,0,1,1.0,0.6,6,0,1,1.0,0.8,8,0,1,1.0,0.9,9
"bb_length_3_visitall-opt11-strips_pproblem02-full-err-rate-0-5.yaml","visitall-opt11-strips/pproblem02-full-err-rate-0-5",3,1,"move,(visited ?nextpos),effPos,1","0.0 hours = 0.1 minutes = 5.42 seconds","",True,3,"move,(visited ?nextpos),effPos,1",1,0,1,"1",1,1,4,2,2.2857142857142856,16,0,3,1,1.2857142857142858,9,0,1,1,0.8571428571428571,6,0,1,1,0.7142857142857143,5,0,0,0,0,0,0,1,0,0.14285714285714285,1,0,1,0,0.14285714285714285,1,0,1,1,0.8571428571428571,6
"bb_length_12_transport-opt08-strips_pp22-err-rate-0-1.yaml","transport-opt08-strips/pp22-err-rate-0-1",12,1,"drop,(at ?p ?l),effPos,1","0.0 hours = 0.5 minutes = 31.25 seconds","",True,12,"drop,(at ?p ?l),effPos,1",1,0,1,"1",1,1,13,7,6.76,169,0,12,6,5.76,144,0,1,1,0.96,24,0,1,1,0.92,23,0,0,0,0,0,0,1,0,0.04,1,0,1,0,0.04,1,0,1,1,0.96,24
"bb_length_11_gripper_pprob01-err-rate-0-3.yaml","gripper/pprob01-err-rate-0-3",11,1,"pick,(carry ?obj ?gripper),effPos,1","0.0 hours = 0.3 minutes = 15.45 seconds","",True,11,"pick,(carry ?obj ?gripper),effPos,1",1,0,1,"1",1,1,12,6,6.076923076923077,79,0,11,5,5.076923076923077,66,0,1,1,0.9230769230769231,12,0,1,1,0.8461538461538461,11,0,1,1,0.5384615384615384,7,0,1,1,0.6153846153846154,8,0,2,1,1.1538461538461537,15,0,1,1,0.9230769230769231,12
"bb_length_7_miconic_ps2-3-err-rate-0-3.yaml","miconic/ps2-3-err-rate-0-3",7,1,"board,(boarded ?p),effPos,1","0.0 hours = 0.2 minutes = 10.58 seconds","",True,7,"board,(boarded ?p),effPos,1",1,0,1,"1",1,1,8,4,4.111111111111111,37,0,7,3,3.111111111111111,28,0,1,1,0.8888888888888888,8,0,1,1,0.7777777777777778,7,0,1,1,0.5555555555555556,5,0,1,0,0.2222222222222222,2,0,1,1,0.7777777777777778,7,0,1,1,0.8888888888888888,8
"bb_length_8_rovers_pp02-err-rate-0-5.yaml","rovers/pp02-err-rate-0-5",8,2,"calibrate,(equipped_for_soil_analysis ?r),effPos,1
communicate_image_data,(not (at_lander ?l ?y)),effNeg,-1","0.0 hours = 0.3 minutes = 18.09 seconds","",True,8,"calibrate,(equipped_for_soil_analysis ?r),effPos,1
communicate_image_data,(not (at_lander ?l ?y)),effNeg,-1",2,0,2,"2",1,1,9,4.0,4.285714285714286,60,0,8,3.0,3.2857142857142856,46,0,1,1.0,0.9285714285714286,13,0,1,1.0,0.8571428571428571,12,0,1,1.0,0.7857142857142857,11,0,2,0.0,0.42857142857142855,6,0,3,1.0,1.2142857142857142,17,0,1,1.0,0.9285714285714286,13
"bb_length_7_miconic_ps2-3-err-rate-0-5.yaml","miconic/ps2-3-err-rate-0-5",7,1,"up,(= ?f1 ?f1),precPos,-1","0.0 hours = 0.2 minutes = 9.42 seconds","",True,7,"up,(= ?f1 ?f1),precPos,-1",1,0,1,"1",1,1,8,4,4.111111111111111,37,0,7,3,3.111111111111111,28,0,1,1,0.8888888888888888,8,0,1,1,0.7777777777777778,7,0,0,0,0,0,0,1,1,0.7777777777777778,7,0,1,1,0.7777777777777778,7,0,1,1,0.8888888888888888,8
"bb_length_7_ged-opt14-strips_pd-2-4-err-rate-0-1.yaml","ged-opt14-strips/pd-2-4-err-rate-0-1",7,1,"begin-cut,(duplicate ?x ?x),effPos,1","0.0 hours = 0.2 minutes = 10.22 seconds","",True,7,"begin-cut,(duplicate ?x ?x),effPos,1",1,0,1,"1",1,1,8,4,4.111111111111111,37,0,7,3,3.111111111111111,28,0,1,1,0.8888888888888888,8,0,1,1,0.7777777777777778,7,0,1,0,0.3333333333333333,3,0,1,0,0.4444444444444444,4,0,1,1,0.7777777777777778,7,0,1,1,0.8888888888888888,8
"bb_length_5_transport-opt08-strips_pp01-err-rate-0-3.yaml","transport-opt08-strips/pp01-err-rate-0-3",5,1,"pick-up,(in ?p ?v),effPos,1","0.0 hours = 0.2 minutes = 9.12 seconds","",True,5,"pick-up,(in ?p ?v),effPos,1",1,0,1,"1",1,1,6,3,3.142857142857143,22,0,5,2,2.142857142857143,15,0,1,1,0.8571428571428571,6,0,1,1,0.7142857142857143,5,0,1,0,0.42857142857142855,3,0,1,0,0.2857142857142857,2,0,1,1,0.7142857142857143,5,0,1,1,0.8571428571428571,6
