"file name","problem name","plan length","num ground repair","run secs","iteration max","branching factor avg","results exists","result g cost","result h cost","result f cost","fringe size max","num neighbours sum"
"astar_length_11_miconic_ps3-4-err-rate-0-3.yaml","miconic/ps3-4-err-rate-0-3","11","2","339.41","35","7.742857142857143","True","2","0","2","238","271"
"astar_length_4_miconic_ps1-2-err-rate-0-3.yaml","miconic/ps1-2-err-rate-0-3","4","2","4.55","5","0.8","True","2","0","2","1","4"
"astar_length_13_miconic_ps3-0-err-rate-0-1.yaml","miconic/ps3-0-err-rate-0-1","13","1","653.88","108","4.481481481481482","True","2","0","2","378","484"
"astar_length_8_miconic_ps2-0-err-rate-0-3.yaml","miconic/ps2-0-err-rate-0-3","8","2","30.03","11","2.272727272727273","True","2","0","2","16","25"
"astar_length_8_ged-opt14-strips_pd-3-2-err-rate-0-5.yaml","ged-opt14-strips/pd-3-2-err-rate-0-5","8","2","454.95","221","1.416289592760181","True","2","0","2","104","313"
"astar_length_8_miconic_ps2-0-err-rate-0-5.yaml","miconic/ps2-0-err-rate-0-5","8","2","25.81","13","1.6153846153846154","True","2","0","2","13","21"
"astar_length_8_rovers_pp02-err-rate-0-5.yaml","rovers/pp02-err-rate-0-5","8","2","119.68","73","1.2191780821917808","True","2","0","2","24","89"
"astar_length_5_mprime_pprob31-err-rate-0-5.yaml","mprime/pprob31-err-rate-0-5","5","1","243.66","9","20.666666666666668","True","1","0","1","181","186"
"astar_length_1_ged-opt14-strips_pd-1-2-err-rate-0-5.yaml","ged-opt14-strips/pd-1-2-err-rate-0-5","1","1","0.13","2","0.5","True","1","0","1","1","1"
"astar_length_8_rovers_pp04-err-rate-0-3.yaml","rovers/pp04-err-rate-0-3","8","1","77.2","30","1.7666666666666666","True","1","0","1","29","53"
"astar_length_1_visitall-opt11-strips_pproblem02-half-err-rate-0-3.yaml","visitall-opt11-strips/pproblem02-half-err-rate-0-3","1","1","0.17","2","2","True","1","0","1","4","4"
"astar_length_11_tpp_pp03-err-rate-0-1.yaml","tpp/pp03-err-rate-0-1","11","1","26.82","12","1.5833333333333333","True","1","0","1","9","19"
"astar_length_11_miconic_ps3-4-err-rate-0-1.yaml","miconic/ps3-4-err-rate-0-1","11","1","189.7","31","4.741935483870968","True","1","0","1","119","147"
"astar_length_8_rovers_pp02-err-rate-0-3.yaml","rovers/pp02-err-rate-0-3","8","1","76.11","45","1.1333333333333333","True","1","0","1","8","51"
"astar_length_11_tpp_pp03-err-rate-0-5.yaml","tpp/pp03-err-rate-0-5","11","1","95.59","12","5.5","True","1","0","1","56","66"
"astar_length_8_ged-opt14-strips_pd-3-2-err-rate-0-3.yaml","ged-opt14-strips/pd-3-2-err-rate-0-3","8","1","591.0","424","1.0825471698113207","True","1","0","1","39","459"
"astar_length_10_rovers_pp01-err-rate-0-1.yaml","rovers/pp01-err-rate-0-1","10","1","173.28","67","1.791044776119403","True","1","0","1","55","120"
"astar_length_7_ged-opt14-strips_pd-2-4-err-rate-0-3.yaml","ged-opt14-strips/pd-2-4-err-rate-0-3","7","1","151.47","118","1.1864406779661016","True","1","0","1","25","140"
"astar_length_4_miconic_ps1-3-err-rate-0-1.yaml","miconic/ps1-3-err-rate-0-1","4","1","4.37","5","0.8","True","1","0","1","1","4"
