         572076071 function calls (532629626 primitive calls) in 248.305 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        3    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        4    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:138(splitroot)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000  248.304  248.304 <string>:1(<module>)
   260468    0.059    0.000    0.059    0.000 __init__.py:10(__init__)
   197120    0.119    0.000    0.813    0.000 __init__.py:10(add_conflict)
        1    0.000    0.000    0.000    0.000 __init__.py:1033(setFormatter)
    24000    2.995    0.000   76.851    0.003 __init__.py:11(repair)
        1    0.000    0.000    0.000    0.000 __init__.py:1126(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1317(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1323(append)
        4    0.000    0.000    0.000    0.000 __init__.py:1369(disable)
    24002    0.063    0.000    0.139    0.000 __init__.py:1377(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
        2    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:1517(debug)
    48002    0.031    0.000    0.048    0.000 __init__.py:1529(info)
   122560    0.253    0.000   25.927    0.000 __init__.py:16(top)
        1    0.000    0.000    0.000    0.000 __init__.py:1702(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:174(search)
        4    0.000    0.000    0.000    0.000 __init__.py:1776(getEffectiveLevel)
    48008    0.017    0.000    0.017    0.000 __init__.py:1790(isEnabledFor)
  1436112    0.546    0.000    1.317    0.000 __init__.py:19(__hash__)
        1    0.000    0.000    0.000    0.000 __init__.py:2021(basicConfig)
        3    0.000    0.000    0.000    0.000 __init__.py:208(_checkLevel)
    24002    0.039    0.000    0.183    0.000 __init__.py:2149(getLogger)
        4    0.000    0.000    0.000    0.000 __init__.py:2218(debug)
    24010    0.018    0.000    0.038    0.000 __init__.py:234(_acquireLock)
   383028    0.085    0.000    0.085    0.000 __init__.py:24(<genexpr>)
    98560    1.063    0.000    1.788    0.000 __init__.py:24(match_atoms)
    24010    0.014    0.000    0.025    0.000 __init__.py:243(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:280(_compile)
  1203416    0.218    0.000    0.218    0.000 __init__.py:30(<genexpr>)
   260468    0.046    0.000    0.046    0.000 __init__.py:37(target)
    98560    0.113    0.000    1.919    0.000 __init__.py:39(match_existing_prec)
        1    0.000    0.000    0.000    0.000 __init__.py:443(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:450(validate)
   197120    0.036    0.000    0.036    0.000 __init__.py:49(condition)
   260468    0.232    0.000    0.291    0.000 __init__.py:59(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:592(__init__)
   457588    0.619    0.000    2.816    0.000 __init__.py:65(__str__)
    24000    0.029    0.000    0.692    0.000 __init__.py:68(get_repairs_string)
   122560    0.085    0.000    0.606    0.000 __init__.py:69(<genexpr>)
    24000    0.030    0.000    0.042    0.000 __init__.py:7(__init__)
    24000    0.011    0.000    0.016    0.000 __init__.py:71(count_repair_lines)
   260468    1.184    0.000   14.440    0.000 __init__.py:79(apply)
    24000    0.006    0.000    0.006    0.000 __init__.py:8(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:811(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
   161908    0.186    0.000    0.472    0.000 __init__.py:96(negate)
      2/1    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
