file_name,problem_name,plan_length,num_ground_repair,str_ground_repair,run_time,error,results_exists,result_depth,result_repair_set,result_g_cost,result_h_cost,result_f_cost,depth_min,depth_max,depth_median,depth_avg,branching_factor_min,branching_factor_max,branching_factor_median,branching_factor_avg,fringe_size_min,fringe_size_max,fringe_size_median,fringe_size_avg,h_cost_min,h_cost_max,h_cost_median,h_cost_avg,g_cost_min,g_cost_max,g_cost_median,g_cost_avg,f_cost_min,f_cost_max,f_cost_median,f_cost_avg
bfs_length_4_tidybot-opt11-strips_pp01-err-rate-0-5.yaml,tidybot-opt11-strips/pp01-err-rate-0-5,4,0,,0.0 hours = 0.0 minutes = 0.59 seconds,,True,4,,0,0,0,0,4,2,2,0,4,2,2,4,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_7_mprime_pprob21-err-rate-0-3.yaml,mprime/pprob21-err-rate-0-3,7,0,,,,False,0,6,6,5.8606417812704645,0,204,0,3.9033398821218075,49,22171,11365,11211.124819908317,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_7_visitall-opt11-strips_pproblem03-half-err-rate-0-5.yaml,visitall-opt11-strips/pproblem03-half-err-rate-0-5,7,1,"move,(visited ?nextpos),effPos,1",0.1 hours = 3.4 minutes = 202.14 seconds,,True,7,"move,(visited ?nextpos),effPos,1",1,0,1,0,7,6.0,5.472649572649573,0,24,0.0,8.54017094017094,24,8827,4435.0,4467.947863247863,0,0,0.0,0,0,1,0.0,0.0008547008547008547,0,1,0.0,0.0008547008547008547
bfs_length_9_elevators-opt08-strips_pp02-err-rate-0-1.yaml,,,,,,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/object:fd.pddl.conditions.Atom'
  in ""./exp_logs/8 BFS-full-log length1-15/bfs_length_9_elevators-opt08-strips_pp02-err-rate-0-1.yaml"", line 62, column 7",False,,,,,,,,,,,,,,,,,,,,,,,,
bfs_length_1_ged-opt14-strips_pd-2-1-err-rate-0-1.yaml,ged-opt14-strips/pd-2-1-err-rate-0-1,1,0,,0.0 hours = 0.0 minutes = 0.17 seconds,,True,1,,0,0,0,0,1,0.5,0.5,0,1,0.5,0.5,0,1,0.5,0.5,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_1_visitall-opt11-strips_pproblem02-half-err-rate-0-1.yaml,visitall-opt11-strips/pproblem02-half-err-rate-0-1,1,0,,0.0 hours = 0.0 minutes = 0.14 seconds,,True,1,,0,0,0,0,1,0.5,0.5,0,1,0.5,0.5,0,1,0.5,0.5,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_4_mystery_pprob17-err-rate-0-5.yaml,mystery/pprob17-err-rate-0-5,4,0,,,,False,0,3,3,2.943217665615142,0,1136,0,50.23343848580441,1136,46843,24230,24316.83596214511,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_3_miconic_ps1-1-err-rate-0-3.yaml,miconic/ps1-1-err-rate-0-3,3,0,,0.0 hours = 0.0 minutes = 0.33 seconds,,True,3,,0,0,0,0,3,1.5,1.5,0,1,1.0,0.75,0,1,1.0,0.75,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_8_woodworking-opt08-strips_pp22-err-rate-0-3.yaml,woodworking-opt08-strips/pp22-err-rate-0-3,8,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,
bfs_length_9_zenotravel_pp04-err-rate-0-3.yaml,zenotravel/pp04-err-rate-0-3,9,0,,0.0 hours = 1.4 minutes = 81.77 seconds,,True,9,,0,0,0,0,9,7.0,7.018656716417911,0,45,1.0,4.324626865671642,45,1784,934.0,930.25,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_10_scanalyzer-sat11-strips_pp01-err-rate-0-3.yaml,scanalyzer-sat11-strips/pp01-err-rate-0-3,10,0,,,,False,0,2,1,1,16384,16384,16384,16384,16384,49150,32767,32767,0,0,0,0,0,0,0,0,0,0,0,0
